Iteration,Passenger_ID,X,Y,Utility,Neighbours,Interest
100,1,422,573,0.0,0,0,1
100,2,442,532,0.0,0,0,1
100,3,657,455,0.0,0,0,1
100,4,546,480,0.0,0,0,1
100,5,552,553,0.0,0,0,1
100,6,451,630,4.8,16,1,2
100,7,360,693,4.6958618734850885,4,1,2
100,8,471,658,4.793844718719117,14,1,2
100,9,438,444,4.95,23,1,2
100,10,199,627,0.0,0,0,2
100,11,355,524,4.85,12,1,2
100,12,444,702,4.858578643762691,10,1,2
100,13,504,392,4.888196601125011,24,1,2
100,14,501,617,4.929289321881345,19,1,2
100,15,491,705,4.793844718719117,11,1,2
100,16,397,347,4.95,9,1,2
100,17,422,447,4.929289321881345,22,1,2
100,18,644,475,4.888196601125011,13,1,2
100,19,426,553,4.858578643762691,20,1,2
100,20,528,217,4.447731949140637,2,1,2
100,21,489,516,4.95,29,1,2
100,22,553,542,4.929289321881345,21,1,2
100,23,601,405,4.888196601125011,17,1,2
100,24,477,569,4.888196601125011,25,1,2
100,25,555,528,4.841886116991581,21,1,2
100,26,290,577,4.745049024320361,6,1,2
100,27,440,485,4.787867965644035,24,1,2
100,28,549,498,4.841886116991581,25,1,2
100,29,413,835,0.0,0,0,2
100,30,583,680,4.75,8,1,2
100,31,428,434,4.95,17,1,3
100,32,305,497,4.776393202250022,6,1,3
100,33,520,620,4.8,11,1,3
100,34,599,254,4.75,3,1,3
100,35,403,561,5.0,10,1,3
100,36,744,494,4.639444872453601,6,1,3
100,37,681,316,4.75,3,1,3
100,38,405,603,4.8,9,1,3
100,39,603,422,4.841886116991581,20,1,3
100,40,329,637,4.477984674554472,6,1,3
100,41,554,432,4.841886116991581,22,1,3
100,42,364,459,4.9,13,1,3
100,43,284,613,4.284108946836182,5,1,3
100,44,705,586,4.929289321881345,6,1,3
100,45,380,395,4.888196601125011,12,1,3
100,46,575,470,5.0,23,1,3
100,47,545,399,4.9,20,1,3
100,48,625,531,4.858578643762691,20,1,3
100,49,473,409,4.787867965644035,19,1,3
100,50,470,561,4.858578643762691,14,1,3

