Iteration,Passengers' mean utility,Vehicles' mean utility,% Interested passengers,% Matched passengers,% Matched Vehicles,Interested passengers,Matched passengers,Matched Vehicles,Total Vehicles
1,2.304827565121099,[D@46c670a6,64.0%,64.0%,27.350427350427353%,32,32,32,117
2,2.6661706155531535,[D@59fc684e,68.0%,68.0%,25.0%,34,34,34,136
3,2.8788979461755537,[D@5ae81e1,70.0%,70.0%,27.559055118110237%,35,35,35,127
4,3.0109694791124935,[D@2fd1731c,72.0%,72.0%,28.125%,36,36,36,128
5,3.177214503097421,[D@5ae76500,74.0%,74.0%,28.68217054263566%,37,37,37,129
6,3.1827238047983344,[D@6063d80a,74.0%,74.0%,28.46153846153846%,37,37,37,130
7,3.3045897672683617,[D@1133ec6e,76.0%,76.0%,29.230769230769234%,38,38,38,130
8,3.3175434190416384,[D@355e34c7,76.0%,76.0%,29.00763358778626%,38,38,38,131
9,3.34773983268153,[D@54709809,76.0%,76.0%,29.00763358778626%,38,38,38,131
10,3.3729301746494618,[D@2a2da905,76.0%,76.0%,29.00763358778626%,38,38,38,131
11,3.4152825340121638,[D@24f360b2,76.0%,76.0%,29.00763358778626%,38,38,38,131
12,3.4300558810151496,[D@60cf80e7,76.0%,76.0%,29.00763358778626%,38,38,38,131
13,3.437491042599078,[D@302fec27,76.0%,76.0%,27.33812949640288%,38,38,38,139
14,3.4581702525762585,[D@770d0ea6,76.0%,76.0%,27.33812949640288%,38,38,38,139
15,3.493532924773539,[D@48c40605,76.0%,76.0%,27.33812949640288%,38,38,38,139
16,3.4995086030806233,[D@54107f42,76.0%,76.0%,27.33812949640288%,38,38,38,139
17,3.506696714785292,[D@1b11ef33,76.0%,76.0%,27.33812949640288%,38,38,38,139
18,3.515310941573653,[D@476aac9,76.0%,76.0%,27.33812949640288%,38,38,38,139
19,3.5349961652120196,[D@6cea706c,76.0%,76.0%,27.33812949640288%,38,38,38,139
20,3.539119270837637,[D@3bd7f8dc,76.0%,76.0%,27.33812949640288%,38,38,38,139
21,3.602239004635207,[D@2f2bf0e2,78.0%,78.0%,26.53061224489796%,39,39,39,147
22,3.639157276594418,[D@1eba372c,78.0%,78.0%,26.351351351351347%,39,39,39,148
23,3.669752430897298,[D@21ec5d87,78.0%,78.0%,26.351351351351347%,39,39,39,148
24,3.670574285312425,[D@25f9407e,78.0%,78.0%,26.351351351351347%,39,39,39,148
25,3.6906264561872772,[D@552518c3,78.0%,78.0%,26.351351351351347%,39,39,39,148
26,3.7016165078626915,[D@1a69561c,78.0%,78.0%,26.351351351351347%,39,39,39,148
27,3.7052355969500828,[D@59aa20b3,78.0%,78.0%,26.351351351351347%,39,39,39,148
28,3.7052355969500828,[D@363f6148,78.0%,78.0%,26.351351351351347%,39,39,39,148
29,3.7052355969500828,[D@4b21844c,78.0%,78.0%,26.351351351351347%,39,39,39,148
30,3.7052355969500828,[D@1b28f282,78.0%,78.0%,26.351351351351347%,39,39,39,148
31,3.7720226631368172,[D@138fe6ec,80.0%,80.0%,27.027027027027028%,40,40,40,148
32,3.791743968915451,[D@5e77f0f4,80.0%,80.0%,26.845637583892618%,40,40,40,149
33,3.795939693797631,[D@19b30c92,80.0%,80.0%,25.157232704402517%,40,40,40,159
34,3.8012784144321667,[D@455351c4,80.0%,80.0%,25.157232704402517%,40,40,40,159
35,3.8043363368247936,[D@29876704,80.0%,80.0%,25.157232704402517%,40,40,40,159
36,3.8043363368247936,[D@4816c290,80.0%,80.0%,25.157232704402517%,40,40,40,159
37,3.8043363368247936,[D@4940809c,80.0%,80.0%,25.157232704402517%,40,40,40,159
38,3.8068930745071814,[D@16423501,80.0%,80.0%,25.157232704402517%,40,40,40,159
39,3.8068930745071814,[D@4efcf8a,80.0%,80.0%,25.157232704402517%,40,40,40,159
40,3.81262297784798,[D@7a138fc5,80.0%,80.0%,25.157232704402517%,40,40,40,159
41,3.81262297784798,[D@379ab47b,80.0%,80.0%,25.157232704402517%,40,40,40,159
42,3.8301036432242843,[D@307765b4,80.0%,80.0%,25.157232704402517%,40,40,40,159
43,3.832964689668385,[D@4a9e6faf,80.0%,80.0%,25.157232704402517%,40,40,40,159
44,3.8360489028994897,[D@2c95ac9e,80.0%,80.0%,25.157232704402517%,40,40,40,159
45,3.8360489028994897,[D@4e4efc1b,80.0%,80.0%,25.157232704402517%,40,40,40,159
46,3.836238653223583,[D@459f7aa3,80.0%,80.0%,25.157232704402517%,40,40,40,159
47,3.838947545286828,[D@7cc586a8,80.0%,80.0%,25.157232704402517%,40,40,40,159
48,3.8408345829349453,[D@7db534f2,80.0%,80.0%,25.157232704402517%,40,40,40,159
49,3.8416234803840172,[D@44a2b17b,80.0%,80.0%,25.157232704402517%,40,40,40,159
50,3.8416234803840172,[D@7a56812e,80.0%,80.0%,25.157232704402517%,40,40,40,159
51,3.8416234803840172,[D@2a76b80a,80.0%,80.0%,25.157232704402517%,40,40,40,159
52,3.8416234803840172,[D@7eb01b12,80.0%,80.0%,25.157232704402517%,40,40,40,159
53,3.8416234803840172,[D@2f4854d6,80.0%,80.0%,25.157232704402517%,40,40,40,159
54,3.8416234803840172,[D@61d9efe0,80.0%,80.0%,25.157232704402517%,40,40,40,159
55,3.8416234803840172,[D@7e70bd39,80.0%,80.0%,25.157232704402517%,40,40,40,159
56,3.84303769394639,[D@e6516e,80.0%,80.0%,25.157232704402517%,40,40,40,159
57,3.8478304996062773,[D@6de54b40,80.0%,80.0%,25.157232704402517%,40,40,40,159
58,3.8478304996062773,[D@43ed0ff3,80.0%,80.0%,25.157232704402517%,40,40,40,159
59,3.8512960161426792,[D@388ffbc2,80.0%,80.0%,25.157232704402517%,40,40,40,159
60,3.8516298666781013,[D@a50b09c,80.0%,80.0%,25.157232704402517%,40,40,40,159
61,3.8516298666781013,[D@4da855dd,80.0%,80.0%,25.157232704402517%,40,40,40,159
62,3.8516298666781013,[D@6691490c,80.0%,80.0%,25.157232704402517%,40,40,40,159
63,3.8516298666781013,[D@2187fff7,80.0%,80.0%,25.157232704402517%,40,40,40,159
64,3.8516298666781013,[D@2e5c7f0b,80.0%,80.0%,25.157232704402517%,40,40,40,159
65,3.8516298666781013,[D@21d5c1a0,80.0%,80.0%,25.157232704402517%,40,40,40,159
66,3.854458293802847,[D@4de025bf,80.0%,80.0%,25.157232704402517%,40,40,40,159
67,3.854458293802847,[D@538613b3,80.0%,80.0%,25.157232704402517%,40,40,40,159
68,3.8598434586099812,[D@1eef9aef,80.0%,80.0%,25.157232704402517%,40,40,40,159
69,3.8598434586099812,[D@11389053,80.0%,80.0%,25.157232704402517%,40,40,40,159
70,3.8598434586099812,[D@5db99216,80.0%,80.0%,25.157232704402517%,40,40,40,159
71,3.8598434586099812,[D@3ec11999,80.0%,80.0%,25.157232704402517%,40,40,40,159
72,3.8598434586099812,[D@5c1bd44c,80.0%,80.0%,25.157232704402517%,40,40,40,159
73,3.8598434586099812,[D@9f46d94,80.0%,80.0%,25.157232704402517%,40,40,40,159
74,3.8598434586099812,[D@18cc679e,80.0%,80.0%,25.157232704402517%,40,40,40,159
75,3.863411067598769,[D@2e77b8cf,80.0%,80.0%,25.157232704402517%,40,40,40,159
76,3.863411067598769,[D@2c4ca0f9,80.0%,80.0%,25.157232704402517%,40,40,40,159
77,3.863411067598769,[D@67ef029,80.0%,80.0%,25.157232704402517%,40,40,40,159
78,3.8656089780214797,[D@7df587ef,80.0%,80.0%,25.157232704402517%,40,40,40,159
79,3.8656089780214797,[D@6e57e95e,80.0%,80.0%,25.157232704402517%,40,40,40,159
80,3.8697795392007723,[D@2755d705,80.0%,80.0%,25.157232704402517%,40,40,40,159
81,3.8709867448385684,[D@56db847e,80.0%,80.0%,25.157232704402517%,40,40,40,159
