Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.5028413742044792,46,46.0%,20,20.0%,21,NaN,0,0.0,2.8752299680746827,12,100.0,2.6652296816609167,8,100.0
2,0.5531380142962865,48,48.0%,20,20.0%,21,NaN,0,0.0,3.1109764196641163,12,100.0,3.0132944019033405,8,100.0
3,0.5453994029826922,45,45.0%,19,19.0%,21,NaN,0,0.0,2.9766943306078057,12,100.0,3.1137575230833368,7,100.0
4,0.47914049129860287,46,46.0%,16,16.0%,21,NaN,0,0.0,3.5316618932077017,12,100.0,1.2951097577965094,4,0.0
5,0.33693725063271146,29,28.999999999999996%,15,15.0%,21,NaN,0,0.0,2.3023238622270483,13,100.0,1.0109731194244276,2,0.0
6,0.3390754359621368,38,38.0%,15,15.0%,20,NaN,0,0.0,2.5325218014580657,13,100.0,0.7034563957433774,2,0.0
7,0.3570631486948752,36,36.0%,14,14.000000000000002%,19,NaN,0,0.0,2.8971367127004837,13,100.0,0.23516857927042878,1,0.0
8,0.3396641055287635,38,38.0%,13,13.0%,18,NaN,0,0.0,2.830534212739696,13,100.0,0.0,0,0.0
9,0.32645707652913436,31,31.0%,13,13.0%,17,NaN,0,0.0,2.7204756377427866,13,100.0,0.0,0,0.0
10,0.23194644382340399,30,30.0%,11,11.0%,16,NaN,0,0.0,1.9328870318617,11,0.0,0.0,0,0.0
