Iteration,Cheesecake,Profiterole,Mudcake
1,0,12,8
2,0,12,8
3,0,12,7
4,0,12,4
5,0,13,2
6,0,13,2
7,0,13,1
8,0,13,0
9,0,13,0
10,0,11,0
