Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,1.1922508622958914,87,87.0%,41,41.0%,43,NaN,0,0.0,3.0751881138347232,25,100.0,2.8387857185972365,16,100.0
2,1.2259269658685314,81,81.0%,42,42.0%,43,NaN,0,0.0,3.370098852863999,25,100.0,2.6068952573823236,17,100.0
3,1.0400835409396207,88,88.0%,42,42.0%,43,NaN,0,0.0,2.543124314518596,25,100.0,2.6858356590947357,17,100.0
4,1.171180718789456,82,82.0%,41,41.0%,43,NaN,0,0.0,3.117701627016236,25,100.0,2.643327051909746,16,100.0
5,1.109745570647369,73,73.0%,40,40.0%,43,NaN,0,0.0,2.8506660193785596,25,100.0,2.6599107874782155,15,0.0
6,1.1375737772560397,76,76.0%,40,40.0%,43,NaN,0,0.0,2.937727557557914,25,100.0,2.7032447715133774,15,0.0
7,1.163953283376439,83,83.0%,41,41.0%,43,NaN,0,0.0,3.0917634542400148,25,100.0,2.637062839742722,16,100.0
8,0.9356144269172282,77,77.0%,41,41.0%,43,NaN,0,0.0,2.2277483424079203,25,100.0,2.5059676546207945,16,100.0
9,1.2852568601072725,84,84.0%,42,42.0%,43,NaN,0,0.0,3.355523189753766,25,100.0,2.9995705910398045,17,100.0
10,1.06645459791993,79,79.0%,42,42.0%,43,NaN,0,0.0,2.612123631831271,25,100.0,2.747155789252655,17,100.0
