Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,1.268208295544824,80,80.0%,41,41.0%,43,NaN,0,0.0,3.2725960353031334,24,100.0,3.01740779420045,17,100.0
2,1.0671714622914759,69,69.0%,41,41.0%,43,NaN,0,0.0,2.930029377767699,24,100.0,2.2747775726701756,17,100.0
3,1.2276941668952694,75,75.0%,39,39.0%,43,NaN,0,0.0,2.864005695991431,23,0.0,3.377079999108287,16,100.0
4,1.1214795744941322,80,80.0%,40,40.0%,43,NaN,0,0.0,2.7550780761823925,24,100.0,2.87663022631474,16,100.0
5,1.1971520518162022,79,79.0%,41,41.0%,43,NaN,0,0.0,3.0451577013398747,24,100.0,2.914463771841453,17,100.0
6,1.14538521520385,81,81.0%,42,42.0%,43,NaN,0,0.0,3.375695243404849,25,100.0,2.0951147299167894,17,100.0
7,1.2893597166182804,82,82.0%,42,42.0%,43,NaN,0,0.0,3.3021396018881366,25,100.0,3.1052888260320497,17,100.0
8,1.2575357570509882,83,83.0%,42,42.0%,43,NaN,0,0.0,3.198362863199895,25,100.0,3.062054186768832,17,100.0
9,1.1953832012956755,83,83.0%,39,39.0%,43,NaN,0,0.0,3.220136436577105,24,100.0,2.640940353232315,15,0.0
10,1.2766249607582387,80,80.0%,41,41.0%,43,NaN,0,0.0,3.592325829208948,24,100.0,2.5904172609255696,17,100.0
