Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.4667907853756306,44,44.0%,19,19.0%,20,NaN,0,0.0,2.25673985762873,11,100.0,3.4445257087536802,8,100.0
2,0.5284621092482852,56,56.00000000000001%,18,18.0%,20,NaN,0,0.0,3.095658368196081,10,100.0,3.1270896061239593,8,100.0
3,0.6570787525186268,59,59.0%,19,19.0%,20,NaN,0,0.0,3.9027015746704934,11,100.0,3.811551357879677,8,100.0
4,0.5343849353953634,50,50.0%,19,19.0%,21,NaN,0,0.0,3.3160255320130045,12,100.0,2.4231732410561846,7,100.0
5,0.5464809945817265,45,45.0%,19,19.0%,21,NaN,0,0.0,2.5020409466081803,11,100.0,3.8750927207832393,8,100.0
6,0.408486734425678,39,39.0%,19,19.0%,21,NaN,0,0.0,2.055917627389894,11,100.0,2.604797077325567,8,100.0
7,0.4853138440455952,48,48.0%,19,19.0%,21,NaN,0,0.0,2.595265838837649,12,100.0,2.8547800253350557,7,100.0
8,0.46229524169799563,44,44.0%,17,17.0%,21,NaN,0,0.0,3.1454378092299518,12,100.0,1.6613868954671556,5,0.0
9,0.3952355999426438,35,35.0%,14,14.000000000000002%,20,NaN,0,0.0,2.876873170892459,11,100.0,1.312992519074555,3,0.0
10,0.3260482011248801,31,31.0%,14,14.000000000000002%,19,NaN,0,0.0,2.907753113330904,12,100.0,0.12390717316961271,2,0.0
