Iteration,Cheesecake,Profiterole,Mudcake
1,0,12,6
2,0,13,8
3,0,13,4
4,0,13,2
5,0,11,1
6,0,13,0
7,0,13,0
8,0,13,0
9,0,13,0
10,0,13,0
