Iteration,Cheesecake,Profiterole,Mudcake
1,0,10,3
2,0,11,5
3,0,10,3
4,0,10,6
5,0,11,6
6,0,11,3
7,0,10,1
8,0,10,1
9,0,10,1
10,0,10,1
