Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,1.1709999640226179,84,84.0%,41,41.0%,43,NaN,0,0.0,2.9921272526780243,24,100.0,2.8305588961243275,17,100.0
2,0.9735417663393571,85,85.0%,39,39.0%,43,NaN,0,0.0,2.4355409313436347,24,100.0,2.431324642605531,15,0.0
3,1.1795291269730184,88,88.0%,40,40.0%,43,NaN,0,0.0,2.82083094194538,24,100.0,3.1408106306632946,16,100.0
4,1.1502605579398946,85,85.0%,41,41.0%,43,NaN,0,0.0,2.506159924745789,24,100.0,3.429888600005657,17,100.0
5,1.0299859434840648,90,90.0%,41,41.0%,43,NaN,0,0.0,2.362171620648691,25,100.0,2.8941547158023697,16,100.0
6,1.2348192565554075,89,89.0%,42,42.0%,43,NaN,0,0.0,3.003984265114443,25,100.0,3.211643955799634,17,100.0
7,1.1313320201392176,87,87.0%,42,42.0%,43,NaN,0,0.0,2.654306048047179,25,100.0,3.089366053799342,17,100.0
8,1.055496104382803,86,86.0%,41,41.0%,43,NaN,0,0.0,2.608238417510219,25,100.0,2.684493026127192,16,100.0
9,1.2436001570770894,86,86.0%,42,42.0%,43,NaN,0,0.0,3.037091420617235,25,100.0,3.216863850805954,17,100.0
10,1.2005361270129407,86,86.0%,41,41.0%,43,NaN,0,0.0,3.161228547668229,25,100.0,2.7615079723285354,16,100.0
