Iteration,Passengers' mean utility,Vehicles' mean utility,% Interested passengers,% Matched passengers,% Matched Vehicles,Interested passengers,Matched passengers,Matched Vehicles,Total Vehicles
1,2.080268626470868,[D@6ca0256d,60.0%,60.0%,24.390243902439025%,30,30,30,123
2,2.6345631117498227,[D@5ef0d29e,70.0%,70.0%,24.822695035460992%,35,35,35,141
3,2.9138860512702576,[D@38f57b3d,72.0%,72.0%,26.865671641791046%,36,36,36,134
4,2.975919737335768,[D@51850751,72.0%,72.0%,26.666666666666668%,36,36,36,135
5,3.052604636323126,[D@3ce3db41,72.0%,72.0%,26.666666666666668%,36,36,36,135
6,3.179121913744144,[D@64df9a61,74.0%,74.0%,27.40740740740741%,37,37,37,135
7,3.1862303858413252,[D@77602954,74.0%,74.0%,27.205882352941174%,37,37,37,136
8,3.2040367337848483,[D@e260766,74.0%,74.0%,27.205882352941174%,37,37,37,136
9,3.2294087980059607,[D@2c3dec30,74.0%,74.0%,27.205882352941174%,37,37,37,136
10,3.2733331587825116,[D@34a97744,74.0%,74.0%,27.205882352941174%,37,37,37,136
11,3.278948230339695,[D@4275c20c,74.0%,74.0%,27.205882352941174%,37,37,37,136
12,3.3834000112918825,[D@7c56e013,76.0%,76.0%,27.941176470588236%,38,38,38,136
13,3.3961677322745967,[D@3fc9dfc5,76.0%,76.0%,27.73722627737226%,38,38,38,137
14,3.422423678581805,[D@40258c2f,76.0%,76.0%,27.73722627737226%,38,38,38,137
15,3.5078345247719716,[D@2cac4385,78.0%,78.0%,28.467153284671532%,39,39,39,137
16,3.5680099092684916,[D@6731787b,80.0%,80.0%,28.985507246376812%,40,40,40,138
17,3.5856373364063447,[D@16f7b4af,80.0%,80.0%,27.2108843537415%,40,40,40,147
18,3.6095174575068603,[D@7adf16aa,80.0%,80.0%,27.2108843537415%,40,40,40,147
19,3.631030344238212,[D@34a1d21f,80.0%,80.0%,27.2108843537415%,40,40,40,147
20,3.631698287812645,[D@58bf8650,80.0%,80.0%,27.2108843537415%,40,40,40,147
21,3.631698287812645,[D@73c60324,80.0%,80.0%,27.2108843537415%,40,40,40,147
22,3.6488550855512876,[D@71ae31b0,80.0%,80.0%,27.2108843537415%,40,40,40,147
23,3.66248709678724,[D@4ba534b0,80.0%,80.0%,27.2108843537415%,40,40,40,147
24,3.667303750613632,[D@6f0ca692,80.0%,80.0%,27.2108843537415%,40,40,40,147
25,3.6915732487486785,[D@2c104774,80.0%,80.0%,27.2108843537415%,40,40,40,147
26,3.6915732487486785,[D@2cb3d0f7,80.0%,80.0%,27.2108843537415%,40,40,40,147
27,3.6915732487486785,[D@4e517165,80.0%,80.0%,25.477707006369428%,40,40,40,157
28,3.694735526408847,[D@44e3760b,80.0%,80.0%,25.477707006369428%,40,40,40,157
29,3.69936249254119,[D@6a66a204,80.0%,80.0%,25.477707006369428%,40,40,40,157
30,3.733942915751284,[D@5860f3d7,80.0%,80.0%,25.477707006369428%,40,40,40,157
31,3.7380478889258266,[D@1d7f7be7,80.0%,80.0%,25.477707006369428%,40,40,40,157
32,3.7422359867278647,[D@42f3156d,80.0%,80.0%,25.477707006369428%,40,40,40,157
33,3.7422359867278647,[D@1ddae9b5,80.0%,80.0%,25.477707006369428%,40,40,40,157
34,3.7464786274149837,[D@427b5f92,80.0%,80.0%,25.477707006369428%,40,40,40,157
35,3.747154072094647,[D@24bdb479,80.0%,80.0%,25.477707006369428%,40,40,40,157
36,3.7501410832530873,[D@7e3f95fe,80.0%,80.0%,25.477707006369428%,40,40,40,157
37,3.7501410832530873,[D@34625ccd,80.0%,80.0%,25.477707006369428%,40,40,40,157
38,3.7501410832530873,[D@2c7d121c,80.0%,80.0%,25.477707006369428%,40,40,40,157
39,3.7656940286103344,[D@65aa6596,80.0%,80.0%,25.477707006369428%,40,40,40,157
40,3.7656940286103344,[D@67389cb8,80.0%,80.0%,25.477707006369428%,40,40,40,157
41,3.7685333025564325,[D@419a20a6,80.0%,80.0%,25.477707006369428%,40,40,40,157
42,3.7685333025564325,[D@533377b,80.0%,80.0%,25.477707006369428%,40,40,40,157
43,3.7710977147039006,[D@3383649e,80.0%,80.0%,25.477707006369428%,40,40,40,157
44,3.779374586957208,[D@10fde30a,80.0%,80.0%,25.477707006369428%,40,40,40,157
45,3.7796775326169363,[D@f27ea3,80.0%,80.0%,25.477707006369428%,40,40,40,157
46,3.7845775127050665,[D@1ce61929,80.0%,80.0%,25.477707006369428%,40,40,40,157
47,3.787393918983119,[D@346939bf,80.0%,80.0%,25.477707006369428%,40,40,40,157
48,3.787393918983119,[D@4bf3798b,80.0%,80.0%,25.477707006369428%,40,40,40,157
49,3.7874402431952414,[D@58670130,80.0%,80.0%,25.477707006369428%,40,40,40,157
50,3.7874402431952414,[D@74e47444,80.0%,80.0%,25.477707006369428%,40,40,40,157
51,3.7911480894644694,[D@9bd0fa6,80.0%,80.0%,25.477707006369428%,40,40,40,157
52,3.7911480894644694,[D@59d2103b,80.0%,80.0%,25.477707006369428%,40,40,40,157
53,3.7911480894644694,[D@39dcf4b0,80.0%,80.0%,25.477707006369428%,40,40,40,157
54,3.7911480894644694,[D@6e4de19b,80.0%,80.0%,25.477707006369428%,40,40,40,157
55,3.7911480894644694,[D@f6c03cb,80.0%,80.0%,25.477707006369428%,40,40,40,157
56,3.797367633921762,[D@46f699d5,80.0%,80.0%,25.477707006369428%,40,40,40,157
57,3.8009904252649642,[D@18518ccf,80.0%,80.0%,25.477707006369428%,40,40,40,157
58,3.8009904252649642,[D@1991f767,80.0%,80.0%,25.477707006369428%,40,40,40,157
59,3.8009904252649642,[D@768ccdc5,80.0%,80.0%,25.477707006369428%,40,40,40,157
60,3.8052259778281843,[D@4c6daf0,80.0%,80.0%,25.477707006369428%,40,40,40,157
61,3.8052259778281843,[D@10650953,80.0%,80.0%,25.477707006369428%,40,40,40,157
62,3.8096717521221164,[D@659eef7,80.0%,80.0%,25.477707006369428%,40,40,40,157
63,3.8096717521221164,[D@162be91c,80.0%,80.0%,25.477707006369428%,40,40,40,157
64,3.8096717521221164,[D@2488b073,80.0%,80.0%,25.477707006369428%,40,40,40,157
65,3.8104291114349973,[D@1c9f0a20,80.0%,80.0%,25.477707006369428%,40,40,40,157
66,3.8104291114349973,[D@55787112,80.0%,80.0%,25.477707006369428%,40,40,40,157
67,3.8104291114349973,[D@1cd201a8,80.0%,80.0%,25.477707006369428%,40,40,40,157
68,3.8104291114349973,[D@7db82169,80.0%,80.0%,25.477707006369428%,40,40,40,157
69,3.811066200846652,[D@1992eaf4,80.0%,80.0%,25.477707006369428%,40,40,40,157
70,3.811066200846652,[D@f74e835,80.0%,80.0%,25.477707006369428%,40,40,40,157
71,3.811066200846652,[D@3276732,80.0%,80.0%,25.477707006369428%,40,40,40,157
72,3.8120662008466524,[D@3f28bd56,80.0%,80.0%,25.477707006369428%,40,40,40,157
73,3.8136229272313567,[D@31e3250d,80.0%,80.0%,25.477707006369428%,40,40,40,157
74,3.821549136914025,[D@19fe4644,80.0%,80.0%,25.477707006369428%,40,40,40,157
75,3.821549136914025,[D@21d8bcbe,80.0%,80.0%,25.477707006369428%,40,40,40,157
76,3.8225099648794743,[D@5be067de,80.0%,80.0%,25.477707006369428%,40,40,40,157
77,3.8255722226277724,[D@7383eae2,80.0%,80.0%,25.477707006369428%,40,40,40,157
78,3.8255722226277724,[D@18245eb0,80.0%,80.0%,25.477707006369428%,40,40,40,157
79,3.8335141251172957,[D@7c7d3c46,80.0%,80.0%,25.477707006369428%,40,40,40,157
80,3.8354011627654137,[D@24fb6a80,80.0%,80.0%,25.477707006369428%,40,40,40,157
81,3.8354011627654137,[D@48c35007,80.0%,80.0%,25.477707006369428%,40,40,40,157
82,3.837804287002847,[D@72a85671,80.0%,80.0%,25.477707006369428%,40,40,40,157
83,3.837804287002847,[D@6722db6e,80.0%,80.0%,25.477707006369428%,40,40,40,157
84,3.837804287002847,[D@18f20260,80.0%,80.0%,25.477707006369428%,40,40,40,157
85,3.837804287002847,[D@4ae33a11,80.0%,80.0%,25.477707006369428%,40,40,40,157
86,3.837804287002847,[D@7a48e6e2,80.0%,80.0%,25.477707006369428%,40,40,40,157
87,3.837804287002847,[D@b40bb6e,80.0%,80.0%,25.477707006369428%,40,40,40,157
88,3.837804287002847,[D@3a94964,80.0%,80.0%,25.477707006369428%,40,40,40,157
89,3.839401162765414,[D@5049d8b2,80.0%,80.0%,25.477707006369428%,40,40,40,157
90,3.839401162765414,[D@6d0b5baf,80.0%,80.0%,25.477707006369428%,40,40,40,157
91,3.839401162765414,[D@631e06ab,80.0%,80.0%,25.477707006369428%,40,40,40,157
92,3.8424936095693867,[D@2a3591c5,80.0%,80.0%,25.477707006369428%,40,40,40,157
93,3.844413246542436,[D@34a75079,80.0%,80.0%,25.477707006369428%,40,40,40,157
94,3.844413246542436,[D@346a361,80.0%,80.0%,25.477707006369428%,40,40,40,157
95,3.844413246542436,[D@107ed6fc,80.0%,80.0%,25.477707006369428%,40,40,40,157
96,3.844413246542436,[D@1643d68f,80.0%,80.0%,25.477707006369428%,40,40,40,157
97,3.844413246542436,[D@186978a6,80.0%,80.0%,25.477707006369428%,40,40,40,157
98,3.844413246542436,[D@2e029d61,80.0%,80.0%,25.477707006369428%,40,40,40,157
99,3.844413246542436,[D@482d776b,80.0%,80.0%,25.477707006369428%,40,40,40,157
100,3.844413246542436,[D@4052274f,80.0%,80.0%,25.477707006369428%,40,40,40,157
