Iteration,Cheesecake,Profiterole,Mucake
1,0,15,14
2,0,18,17
3,0,19,17
4,0,21,17
5,0,21,17
6,0,21,17
7,0,22,17
8,0,22,17
9,0,22,17
10,0,22,17
11,0,22,17
12,0,23,17
13,0,23,17
14,0,24,17
15,0,24,17
16,0,24,17
17,0,24,17
18,0,24,17
19,0,24,17
20,0,24,17
21,0,24,17
22,0,24,17
23,0,24,17
24,0,24,17
25,0,24,17
26,0,24,17
27,0,24,17
28,0,24,17
29,0,24,17
30,0,24,17
31,0,24,17
32,0,24,17
33,0,24,17
34,0,24,17
35,0,24,17
36,0,24,17
37,0,24,17
38,0,24,17
39,0,24,17
40,0,24,17
41,0,24,17
42,0,24,17
43,0,24,17
44,0,24,17
45,0,24,17
46,0,24,17
47,0,24,17
48,0,24,17
49,0,25,17
50,0,25,17
51,0,25,17
52,0,25,17
53,0,25,17
54,0,25,17
55,0,25,17
56,0,25,17
57,0,25,17
58,0,25,17
59,0,25,17
60,0,25,17
61,0,25,17
62,0,25,17
63,0,25,17
64,0,25,17
65,0,25,17
66,0,25,17
67,0,25,17
68,0,25,17
69,0,25,17
70,0,25,17
71,0,25,17
72,0,25,17
73,0,25,17
74,0,25,17
75,0,25,17
76,0,25,17
77,0,25,17
78,0,25,17
79,0,25,17
80,0,25,17
81,0,25,17
82,0,25,17
83,0,25,17
84,0,25,17
85,0,25,17
86,0,25,17
87,0,25,17
88,0,25,17
89,0,25,17
90,0,25,17
91,0,25,17
92,0,25,17
93,0,25,17
94,0,25,17
95,0,25,17
96,0,25,17
97,0,25,17
98,0,25,17
99,0,25,17
100,0,25,17
