Iteration,Vehicle_ID,X,Y,Utility,Capacity,Neighbours
1,0,946,425,0.0,1,0,1
1,1,597,593,3.197224362268005,0,0,2
1,2,323,524,3.2970613634073604,0,0,2
1,3,569,700,2.8068287800538694,0,0,2
1,4,526,513,0.0,1,0,2
1,5,489,296,0.0,1,0,2
1,6,543,540,0.0,1,0,2
1,7,227,598,0.0,1,0,2
1,8,591,705,0.0,1,0,2
1,9,484,419,0.0,1,0,2
1,10,430,721,0.0,1,0,2
1,11,603,532,4.6958618734850885,0,0,2
1,12,365,563,0.0,1,0,2
1,13,467,639,3.322949016875158,0,0,2
1,14,388,610,0.0,1,0,2
1,15,500,459,2.738916189080997,0,0,2
1,16,434,628,0.0,1,0,2
1,17,527,247,0.0,1,0,2
1,18,314,469,0.0,1,0,2
1,19,374,801,0.0,1,0,2
1,20,671,572,0.0,1,0,2
1,21,673,660,0.0,1,0,2
1,22,671,398,0.0,1,0,2
1,23,433,684,0.0,1,0,2
1,24,637,500,3.722306766081936,0,0,2
1,25,243,664,0.0,1,0,2
1,26,457,406,0.0,1,0,2
1,27,405,587,0.0,1,0,2
1,28,465,476,0.0,1,0,2
1,29,276,322,0.0,1,0,2
1,30,479,402,4.8,0,0,2
1,31,507,529,0.0,1,0,2
1,32,414,744,0.0,1,0,2
1,33,551,510,4.161847269287989,0,0,2
1,34,566,544,0.0,1,0,2
1,35,231,556,0.0,1,0,2
1,36,673,418,0.0,1,0,2
1,37,476,667,0.0,1,0,2
1,38,586,476,0.0,1,0,2
1,39,623,630,0.0,1,0,2
1,40,578,335,0.0,1,0,2
1,41,509,400,2.8639990636706174,0,0,2
1,42,497,490,0.0,1,0,2
1,43,446,607,0.0,1,0,2
1,44,378,394,0.0,1,0,2
1,45,773,406,0.0,1,0,2
1,46,732,678,0.0,1,0,2
1,47,448,555,0.0,1,0,2
1,48,596,576,4.776393202250022,0,0,2
1,49,599,426,0.0,1,0,2
1,50,538,322,4.3423526781017046,0,0,2
1,51,620,496,0.0,1,0,2
1,52,701,403,0.0,1,0,2
1,53,594,577,0.0,1,0,2
1,54,759,454,0.0,1,0,2
1,55,368,285,0.0,1,0,2
1,56,418,353,3.4443650813895954,0,0,2
1,57,334,464,0.0,1,0,2
1,58,627,508,4.9,0,0,2
1,59,695,611,0.0,1,0,2
1,60,592,414,0.0,1,0,2
1,61,520,594,0.0,1,0,2
1,62,585,527,0.0,1,0,2
1,63,438,609,0.0,1,0,2
1,64,378,821,0.0,1,0,2
1,65,535,623,0.0,1,0,2
1,66,506,500,4.3199264745632275,0,0,2
1,67,711,272,0.0,1,0,2
1,68,514,487,0.0,1,0,2
1,69,641,596,0.0,1,0,2
1,70,727,618,0.0,1,0,3
1,71,481,443,0.0,1,0,3
1,72,431,433,3.5884405786506894,0,0,3
1,73,625,550,4.0447513412728595,0,0,3
1,74,336,474,0.0,1,0,3
1,75,758,597,0.0,1,0,3
1,76,517,334,2.8727952613817354,0,0,3
1,77,462,631,0.0,1,0,3
1,78,321,534,0.0,1,0,3
1,79,412,591,0.0,1,0,3
1,80,447,688,0.0,1,0,3
1,81,534,722,0.0,1,0,3
1,82,651,577,0.0,1,0,3
1,83,331,698,0.0,1,0,3
1,84,542,530,0.0,1,0,3
1,85,538,530,3.2780824642277437,0,0,3
1,86,342,721,0.0,1,0,3
1,87,332,510,0.0,1,0,3
1,88,565,655,3.3000000000000003,0,0,3
1,89,641,787,0.0,1,0,3
1,90,470,655,0.0,1,0,3
1,91,629,639,0.0,1,0,3
1,92,522,576,0.0,1,0,3
1,93,464,578,3.714503986781756,0,0,3
1,94,509,589,0.0,1,0,3
1,95,691,511,4.26175884698833,0,0,3
1,96,253,437,0.0,1,0,3
1,97,604,642,4.25,0,0,3
1,98,410,304,0.0,1,0,3
1,99,387,441,0.0,1,0,3
1,100,525,405,3.6799621217555916,0,0,3
1,101,536,552,0.0,1,0,3
1,102,627,602,0.0,1,0,3
1,103,229,462,0.0,1,0,3
1,104,508,554,0.0,1,0,3
1,105,404,263,0.0,1,0,3
1,106,456,495,0.0,1,0,3
1,107,460,591,0.0,1,0,3
1,108,410,515,0.0,1,0,3
1,109,483,511,3.8231397704060175,0,0,3
1,110,472,621,0.0,1,0,3
1,111,390,544,0.0,1,0,3
1,112,588,530,0.0,1,0,3
1,113,794,491,0.0,1,0,3
1,114,452,285,0.0,1,0,3
1,115,451,621,0.0,1,0,3
1,116,621,562,2.656925097228004,0,0,3
1,117,608,646,0.0,1,0,3
1,118,418,854,0.0,1,0,3
1,119,523,550,0.0,1,0,3
1,120,458,475,0.0,1,0,3
1,121,479,457,4.8,0,0,3
1,122,757,490,0.0,1,0,3
1,123,330,592,3.557779489814404,0,0,3
1,124,575,482,0.0,1,0,3
1,125,646,450,2.453924588705197,0,0,3
1,126,209,676,0.0,1,0,3
1,127,449,264,0.0,1,0,3
1,128,411,299,0.0,1,0,3
1,129,426,536,0.0,1,0,3
1,130,471,245,0.0,1,0,3
1,131,648,639,0.0,1,0,3
1,132,602,421,0.0,1,0,3
1,133,686,302,0.0,1,0,3
1,134,429,524,0.0,1,0,3
1,135,451,714,0.0,1,0,3
1,136,403,656,0.0,1,0,3
1,137,540,808,0.0,1,0,3
1,138,377,550,0.0,1,0,3

