Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.9126673745673479,72,72.0%,32,32.0%,33,NaN,0,0.0,3.231009440665832,19,100.0,2.75904729372915,13,100.0
2,0.8903869181050377,76,76.0%,32,32.0%,33,NaN,0,0.0,2.880205898612413,19,100.0,3.099582136290028,13,100.0
3,0.9075875616017397,77,77.0%,32,32.0%,33,NaN,0,0.0,3.1072714078904626,19,100.0,2.902322568178804,13,100.0
4,0.9169605803381635,76,76.0%,31,31.0%,33,NaN,0,0.0,3.4005592127619426,18,100.0,2.5404993503417828,13,100.0
5,0.858209415390724,80,80.0%,32,32.0%,33,NaN,0,0.0,2.8478747998816205,19,100.0,2.8799329284336053,13,100.0
6,0.7800294311791154,69,69.0%,32,32.0%,33,NaN,0,0.0,2.7925597418949293,19,100.0,2.3114056469835687,13,100.0
7,0.9807446973932825,73,73.0%,32,32.0%,33,NaN,0,0.0,3.0225387510562634,19,100.0,3.6390643516929573,13,100.0
8,0.8158049264102175,72,72.0%,32,32.0%,34,NaN,0,0.0,2.7535360360173957,18,100.0,2.4628341532852804,14,100.0
9,1.0151390351706895,77,77.0%,33,33.0%,34,NaN,0,0.0,3.5046465300408496,19,100.0,2.9561743058718193,14,100.0
10,0.9267575681394368,80,80.0%,34,34.0%,35,NaN,0,0.0,3.0998887019614725,20,100.0,2.598297805898129,14,100.0
