Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.41860527140453235,41,41.0%,16,16.0%,19,NaN,0,0.0,2.921228585450651,10,100.0,2.1080402143244545,6,100.0
2,0.28142036069032156,24,24.0%,12,12.0%,19,NaN,0,0.0,1.7042644748053022,8,0.0,1.8498985534965213,4,0.0
3,0.37920041666884385,36,36.0%,13,13.0%,17,NaN,0,0.0,3.1649117731057124,10,100.0,1.8871671417865954,3,0.0
4,0.35126783541164724,39,39.0%,12,12.0%,16,NaN,0,0.0,3.653857622228193,10,100.0,0.5605162352777486,2,0.0
5,0.25659635137960185,33,33.0%,10,10.0%,15,NaN,0,0.0,2.851070570884465,10,100.0,0.0,0,0.0
6,0.23112893112121868,20,20.0%,8,8.0%,14,NaN,0,0.0,2.5680992346802074,8,0.0,0.0,0,0.0
7,0.22829297474819682,34,34.0%,10,10.0%,13,NaN,0,0.0,2.536588608313298,10,100.0,0.0,0,0.0
8,0.250204059251121,25,25.0%,8,8.0%,12,NaN,0,0.0,2.7800451027902335,8,0.0,NaN,0,0.0
9,0.24078056342664628,34,34.0%,9,9.0%,12,NaN,0,0.0,2.675339593629403,9,100.0,NaN,0,0.0
10,0.17534724471392293,27,27.0%,9,9.0%,12,NaN,0,0.0,1.9483027190435882,9,100.0,NaN,0,0.0
