Iteration,Cheesecake,Profiterole,Mudcake
1,0,10,6
2,0,8,4
3,0,10,3
4,0,10,2
5,0,10,0
6,0,8,0
7,0,10,0
8,0,8,0
9,0,9,0
10,0,9,0
