Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.3093589230357473,19,19.0%,11,11.0%,18,NaN,0,0.0,3.0286308352677143,9,100.0,0.6130357976942172,2,0.0
2,0.252811359297019,20,20.0%,11,11.0%,17,NaN,0,0.0,2.711110555002855,10,100.0,0.1762281869352411,1,0.0
3,0.2422208018359325,25,25.0%,10,10.0%,16,NaN,0,0.0,2.691342242621472,10,100.0,0.0,0,0.0
4,0.270095086498475,28,28.000000000000004%,10,10.0%,15,NaN,0,0.0,3.0010565166497227,10,100.0,0.0,0,0.0
5,0.20731483736811235,28,28.000000000000004%,9,9.0%,14,NaN,0,0.0,2.303498192979026,9,100.0,0.0,0,0.0
6,0.2983194827385688,23,23.0%,10,10.0%,13,NaN,0,0.0,3.314660919317431,10,100.0,0.0,0,0.0
7,0.22370718649379995,32,32.0%,10,10.0%,12,NaN,0,0.0,2.4856354054866663,10,100.0,NaN,0,0.0
8,0.2351594362927847,28,28.000000000000004%,10,10.0%,12,NaN,0,0.0,2.6128826254753856,10,100.0,NaN,0,0.0
9,0.23605467017402243,28,28.000000000000004%,9,9.0%,12,NaN,0,0.0,2.6228296686002492,9,100.0,NaN,0,0.0
10,0.26780511758041736,18,18.0%,10,10.0%,12,NaN,0,0.0,2.975612417560193,10,100.0,NaN,0,0.0
