Iteration,Cheesecake,Profiterole,Mudcake
1,0,19,13
2,0,19,12
3,0,19,13
4,0,18,13
5,0,19,13
6,0,19,14
7,0,18,14
8,0,19,13
9,0,18,14
10,0,19,12
