Iteration,Passenger_ID,X,Y,Utility,Neighbours,Interest
10,1,402,425,3.822608816068338,13,1,2
10,2,582,654,1.8599363063784835,7,1,2
10,3,509,275,2.857425613893417,7,1,2
10,4,489,159,0.0,2,0,2
10,5,726,324,0.0,5,0,2
10,6,578,513,3.7348419071120005,14,1,2
10,7,368,227,0.0,2,0,2
10,8,588,493,3.484867992549824,13,1,2
10,9,506,533,4.41156988520301,15,1,2
10,10,363,358,4.126787540171351,7,1,2
10,11,358,691,3.0004688049445187,4,1,2
10,12,554,677,1.4669418346140972,5,1,2
10,13,474,471,4.4163691235035625,17,1,2
10,14,467,501,4.617573536480542,16,1,2
10,15,544,379,4.159613184301419,14,1,2
10,16,642,503,4.621681351239461,11,1,2
10,17,664,347,2.7004076448205,8,1,2
10,18,258,521,0.8309923243054591,7,1,2
10,19,492,839,0.0,0,0,2
10,20,485,356,3.68256878737446,13,1,2
10,21,354,403,2.575,7,1,2
10,22,324,520,0.0,9,1,2
10,23,431,729,0.0,4,0,2
10,24,233,531,0.0,2,0,2
10,25,514,355,0.8463118797868319,13,1,2
10,26,493,503,0.0,16,1,2
10,27,582,480,0.0,13,1,2
10,28,620,396,0.0,11,1,2
10,29,772,336,0.0,3,0,2
10,30,633,508,0.0,11,1,2
10,31,541,512,0.0,15,1,2
10,32,303,640,0.0,4,0,2
10,33,722,145,0.0,1,0,2
10,34,489,402,0.0,16,1,2
10,35,342,507,0.0,10,1,2
10,36,540,728,0.0,5,0,2
10,37,373,582,0.0,8,1,2
10,38,478,588,0.0,13,1,2
10,39,431,606,0.0,9,1,2
10,40,399,517,0.0,14,1,2
10,41,608,801,0.0,1,0,2
10,42,704,725,0.0,1,0,2
10,43,243,582,0.0,3,0,2
10,44,507,512,0.0,16,1,2
10,45,482,509,0.0,16,1,2
10,46,446,420,0.0,14,1,2
10,47,549,523,0.0,15,1,2
10,48,240,601,0.0,2,0,2
10,49,475,600,0.0,10,1,2
10,50,462,532,0.0,14,1,2
10,51,616,556,0.74794167490614,13,1,2
10,52,638,529,0.0,12,1,2
10,53,437,378,0.0,12,1,2
10,54,467,671,0.0,6,1,2
10,55,444,541,0.0,12,1,2
10,56,576,568,0.0,16,1,2
10,57,525,613,0.0,11,1,2
10,58,419,492,0.0,14,1,2
10,59,187,301,0.0,1,0,2
10,60,656,428,0.0,8,1,2
10,61,452,325,4.2,5,1,3
10,62,343,549,3.6107556010550197,4,1,3
10,63,648,390,3.5047993445694314,7,1,3
10,64,454,397,3.50835661098237,6,1,3
10,65,293,319,0.0,5,0,3
10,66,424,769,0.0,1,0,3
10,67,700,645,3.309955621884443,5,1,3
10,68,577,374,3.3564520086106397,7,1,3
10,69,578,503,4.324537195694686,7,1,3
10,70,552,500,0.9545550306548478,10,1,3
10,71,347,300,2.3371772496089793,4,1,3
10,72,395,558,0.9639127858778871,4,1,3
10,73,487,608,0.0,4,0,3
10,74,457,426,0.0,6,1,3
10,75,529,537,0.0,6,1,3
10,76,553,650,0.0,3,0,3
10,77,408,323,0.0,4,1,3
10,78,339,467,0.0,3,0,3
10,79,307,426,0.0,3,0,3
10,80,611,389,1.9331408574895392,6,1,3
10,81,656,392,0.0824294616142005,8,1,3
10,82,464,467,0.0,6,1,3
10,83,379,365,0.0,4,0,3
10,84,397,620,0.0,2,0,3
10,85,610,363,0.0,6,1,3
10,86,365,520,0.0,3,0,3
10,87,446,425,0.0,6,1,3
10,88,382,714,0.0,1,0,3
10,89,245,573,0.0,3,0,3
10,90,439,571,0.0,4,0,3
10,91,628,521,0.0,7,1,3
10,92,477,368,0.0,6,1,3
10,93,590,415,0.0,8,1,3
10,94,266,524,0.0,4,0,3
10,95,291,401,0.0,3,0,3
10,96,676,475,0.0,6,1,3
10,97,412,400,0.0,5,0,3
10,98,577,496,0.0,8,1,3
10,99,348,433,0.0,4,0,3
10,100,539,321,0.0,5,0,3

