Iteration,Cheesecake,Profiterole,Mudcake
1,0,11,4
2,0,10,6
3,0,10,3
4,0,10,2
5,0,10,2
6,0,11,2
7,0,11,1
8,0,11,0
9,0,11,0
10,0,11,0
