Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.3591440500696193,37,37.0%,15,15.0%,20,NaN,0,0.0,2.6224329183552713,11,100.0,1.3842965462013177,4,0.0
2,0.33865039841888694,27,27.0%,16,16.0%,19,NaN,0,0.0,2.02584523575616,10,100.0,2.267764580721182,6,100.0
3,0.328643519644502,38,38.0%,13,13.0%,19,NaN,0,0.0,2.645654125508136,10,100.0,1.067968451561474,3,0.0
4,0.32584456265095113,27,27.0%,12,12.0%,18,NaN,0,0.0,2.565541972152139,10,100.0,1.3858073087147447,2,0.0
5,0.36542432729823704,34,34.0%,12,12.0%,17,NaN,0,0.0,2.887437239937765,10,100.0,1.917015082611512,2,0.0
6,0.34655459300835056,36,36.0%,13,13.0%,16,NaN,0,0.0,2.9560756743331265,11,100.0,1.6982341858345962,2,0.0
7,0.3243552198415242,32,32.0%,12,12.0%,15,NaN,0,0.0,3.2123605281193974,11,100.0,0.15595835147922338,1,0.0
8,0.23975309581455026,27,27.0%,11,11.0%,14,NaN,0,0.0,2.3975309581455027,11,100.0,0.0,0,0.0
9,0.31966233511811265,40,40.0%,11,11.0%,13,NaN,0,0.0,3.1966233511811266,11,100.0,NaN,0,0.0
10,0.3048258004780964,38,38.0%,11,11.0%,13,NaN,0,0.0,3.0482580047809638,11,100.0,NaN,0,0.0
