Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.10300384885744929,5,5.0%,5,5.0%,13,NaN,0,0.0,1.7167308142908215,5,0.0,0.0,0,0.0
2,0.09339282846429203,5,5.0%,5,5.0%,11,NaN,0,0.0,1.8678565692858407,5,100.0,0.0,0,0.0
3,0.11866365160261001,3,3.0%,3,3.0%,9,NaN,0,0.0,2.9665912900652502,3,0.0,0.0,0,0.0
4,0.04012916694288397,3,3.0%,2,2.0%,8,NaN,0,0.0,1.0032291735720993,2,0.0,0.0,0,0.0
5,0.0369615951895947,1,1.0%,1,1.0%,6,NaN,0,0.0,1.23205317298649,1,0.0,NaN,0,0.0
6,0.03138381080886853,1,1.0%,1,1.0%,5,NaN,0,0.0,1.5691905404434268,1,0.0,NaN,0,0.0
7,0.04125,1,1.0%,1,1.0%,4,NaN,0,0.0,4.125,1,100.0,NaN,0,0.0
8,0.019217496852919843,1,1.0%,1,1.0%,4,NaN,0,0.0,1.9217496852919842,1,100.0,NaN,0,0.0
9,0.0,0,0.0%,0,0.0%,3,NaN,0,0.0,NaN,0,0.0,NaN,0,0.0
10,0.0,0,0.0%,0,0.0%,3,NaN,0,0.0,NaN,0,0.0,NaN,0,0.0
