Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.15910894219351893,5,5.0%,5,5.0%,13,NaN,0,0.0,2.651815703225316,5,0.0,0.0,0,0.0
2,0.05835423454905904,5,5.0%,3,3.0%,12,NaN,0,0.0,0.9725705758176506,3,0.0,0.0,0,0.0
3,0.08543497974280367,2,2.0%,2,2.0%,10,NaN,0,0.0,1.7086995948560735,2,0.0,0.0,0,0.0
4,0.05547287503657484,2,2.0%,2,2.0%,8,NaN,0,0.0,1.386821875914371,2,0.0,0.0,0,0.0
5,0.03610072083507788,2,2.0%,2,2.0%,6,NaN,0,0.0,1.2033573611692627,2,0.0,NaN,0,0.0
6,0.0,0,0.0%,0,0.0%,5,NaN,0,0.0,0.0,0,0.0,NaN,0,0.0
7,0.0,0,0.0%,0,0.0%,4,NaN,0,0.0,0.0,0,0.0,NaN,0,0.0
8,0.0,0,0.0%,0,0.0%,3,NaN,0,0.0,NaN,0,0.0,NaN,0,0.0
9,0.0,0,0.0%,0,0.0%,3,NaN,0,0.0,NaN,0,0.0,NaN,0,0.0
10,0.0,0,0.0%,0,0.0%,3,NaN,0,0.0,NaN,0,0.0,NaN,0,0.0
