Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.3264100712474432,45,45.0%,13,13.0%,18,NaN,0,0.0,2.992964650695379,10,100.0,0.9507208780809847,3,0.0
2,0.21819984672557557,32,32.0%,10,10.0%,17,NaN,0,0.0,2.364002211756827,9,100.0,0.10879295334922316,1,0.0
3,0.2451833295299414,27,27.0%,10,10.0%,16,NaN,0,0.0,2.7242592169993487,10,100.0,0.0,0,0.0
4,0.23795431659734526,22,22.0%,9,9.0%,15,NaN,0,0.0,2.643936851081614,9,100.0,0.0,0,0.0
5,0.1325747606125902,15,15.0%,8,8.0%,14,NaN,0,0.0,1.4730528956954465,8,0.0,0.0,0,0.0
6,0.23357716121885247,31,31.0%,9,9.0%,12,NaN,0,0.0,2.919714515235656,9,100.0,0.0,0,0.0
7,0.21943413581590046,35,35.0%,9,9.0%,11,NaN,0,0.0,2.742926697698756,9,100.0,NaN,0,0.0
8,0.2242262593873975,18,18.0%,9,9.0%,11,NaN,0,0.0,2.8028282423424686,9,100.0,NaN,0,0.0
9,0.1896388344532428,13,13.0%,7,7.000000000000001%,11,NaN,0,0.0,2.370485430665535,7,0.0,NaN,0,0.0
10,0.207551052339959,17,17.0%,9,9.0%,11,NaN,0,0.0,2.5943881542494873,9,100.0,NaN,0,0.0
