Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.6291036670187019,57,56.99999999999999%,22,22.0%,23,NaN,0,0.0,2.6436862405093073,13,100.0,3.898266476969812,9,100.0
2,0.6396117926274338,63,63.0%,22,22.0%,23,NaN,0,0.0,3.3098240792271856,13,100.0,3.0304112890021444,9,100.0
3,0.623728984367906,58,57.99999999999999%,22,22.0%,23,NaN,0,0.0,2.874961107645792,13,100.0,3.4841706431301374,9,100.0
4,0.48579488091329703,61,61.0%,22,22.0%,23,NaN,0,0.0,2.3327107069054374,13,100.0,2.5733699510580568,9,100.0
5,0.4795982270315796,39,39.0%,19,19.0%,23,NaN,0,0.0,2.6535139145106332,13,100.0,2.0147069661287955,6,0.0
6,0.5386054895813974,53,53.0%,22,22.0%,23,NaN,0,0.0,2.651016359626009,13,100.0,2.756044080328455,9,100.0
7,0.40015775842013723,56,56.00000000000001%,20,20.0%,23,NaN,0,0.0,2.143297248671284,12,100.0,1.7870261072447906,8,100.0
8,0.5281793659162027,43,43.0%,20,20.0%,22,NaN,0,0.0,2.8710309856381033,13,100.0,2.623652109137578,7,100.0
9,0.500759363424362,56,56.00000000000001%,21,21.0%,22,NaN,0,0.0,2.113695538897859,13,100.0,3.530227125094556,8,100.0
10,0.4895007859662837,53,53.0%,21,21.0%,22,NaN,0,0.0,2.1301122480507577,13,100.0,3.341247374288468,8,100.0
