Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.7922145722800324,76,76.0%,32,32.0%,33,NaN,0,0.0,2.3524623814177357,19,100.0,3.0730945302070016,13,100.0
2,0.9114087658011936,75,75.0%,32,32.0%,33,NaN,0,0.0,3.338095788947945,19,100.0,2.587929364921363,13,100.0
3,0.9378171347607167,77,77.0%,32,32.0%,33,NaN,0,0.0,3.0617472517060462,19,100.0,3.222521912113569,13,100.0
4,1.010315389644628,77,77.0%,32,32.0%,33,NaN,0,0.0,3.389217282576307,19,100.0,3.335468989840773,13,100.0
5,0.9384651752862092,75,75.0%,32,32.0%,33,NaN,0,0.0,3.226732436331807,19,100.0,2.9804444728873665,13,100.0
6,0.8132966416490319,80,80.0%,30,30.0%,33,NaN,0,0.0,2.830234842939458,18,100.0,2.5321197493327463,12,100.0
7,1.0917378401495592,77,77.0%,32,32.0%,33,NaN,0,0.0,3.56203069600417,19,100.0,3.754769290573405,13,100.0
8,0.9233132263408766,81,81.0%,34,34.0%,35,NaN,0,0.0,3.015201477856332,20,100.0,2.6955765042167203,14,100.0
9,0.9634785387854733,79,79.0%,34,34.0%,35,NaN,0,0.0,3.0338067558016695,20,100.0,2.977348116793509,14,100.0
10,0.9029463010028559,75,75.0%,33,33.0%,35,NaN,0,0.0,2.38934044867629,19,100.0,3.4536278134950837,14,100.0
