Iteration,Cheesecake,Profiterole,Mudcake
1,0,19,13
2,0,19,13
3,0,19,13
4,0,19,13
5,0,19,13
6,0,18,12
7,0,19,13
8,0,20,14
9,0,20,14
10,0,19,14
