Iteration,Cheesecake,Profiterole,Mucake
1,1,22,25
2,0,21,28
3,1,20,28
4,0,17,32
5,0,16,33
6,0,15,34
7,0,18,31
8,0,19,30
9,0,23,26
10,0,23,26
11,0,23,26
12,0,24,25
13,0,23,26
14,0,22,27
15,0,22,27
16,0,24,25
17,0,25,25
18,0,26,24
19,0,27,23
20,0,28,22
21,0,30,20
22,0,29,21
23,0,30,20
24,0,30,20
25,0,31,19
26,0,29,21
27,0,30,20
28,0,31,19
29,0,31,19
30,0,31,19
31,0,30,20
32,0,30,20
33,0,30,20
34,0,31,19
35,0,31,19
36,0,30,20
37,0,29,21
38,0,29,21
39,0,30,20
40,0,31,19
41,0,31,19
42,0,29,21
43,0,29,21
44,0,29,21
45,0,29,21
46,0,30,20
47,0,31,19
48,0,31,19
49,0,31,19
50,0,30,20
51,0,30,20
52,0,30,20
53,0,30,20
54,0,30,20
55,0,30,20
56,0,31,19
57,0,30,20
58,0,30,20
59,0,29,21
60,0,29,21
61,0,28,22
62,0,28,22
63,0,28,22
64,0,28,22
65,0,28,22
66,0,28,22
67,0,28,22
68,0,27,23
69,0,27,23
70,0,27,23
71,0,27,23
72,0,27,23
73,0,27,23
74,0,27,23
75,0,27,23
76,0,26,24
77,0,26,24
78,0,26,24
79,0,26,24
80,0,26,24
81,0,26,24
82,0,27,23
83,0,27,23
84,0,27,23
85,0,27,23
86,0,27,23
87,0,25,25
88,0,25,25
89,0,26,24
90,0,26,24
91,0,26,24
92,0,26,24
93,0,26,24
94,0,26,24
95,0,25,25
96,0,25,25
97,0,24,26
98,0,24,26
99,0,24,26
100,0,24,26
