Iteration,Cheesecake,Profiterole,Mudcake
1,0,12,0
2,0,12,5
3,0,11,6
4,0,9,3
5,0,11,3
6,0,10,2
7,0,10,2
8,0,9,0
9,0,9,0
10,0,8,0
