Iteration,Cheesecake,Profiterole,Mucake
1,0,20,26
2,1,21,24
3,1,20,25
4,2,24,21
5,2,24,21
6,2,25,20
7,2,24,22
8,2,24,22
9,2,23,23
10,2,24,23
11,2,24,23
12,2,25,22
13,2,24,23
14,2,24,23
15,2,26,22
16,2,25,23
17,2,24,24
18,2,25,23
19,1,25,24
20,1,23,26
21,1,23,26
22,1,24,25
23,1,22,27
24,1,22,27
25,1,25,24
26,1,26,23
27,2,26,22
28,2,26,22
29,2,25,23
30,2,24,24
31,2,24,24
32,2,23,25
33,2,23,25
34,2,22,26
35,2,22,26
36,2,22,26
37,2,22,26
38,2,22,26
39,2,22,26
40,2,21,27
41,2,21,27
42,2,20,28
43,2,20,28
44,2,20,28
45,3,20,27
46,3,20,27
47,3,20,27
48,3,20,27
49,3,19,28
50,2,20,28
51,2,20,28
52,2,20,28
53,2,20,28
54,2,20,28
55,2,20,28
56,2,20,28
57,1,21,28
58,1,21,28
59,1,21,28
60,1,21,28
61,1,21,28
62,1,20,29
63,1,20,29
64,1,21,28
65,1,21,28
66,1,21,28
67,1,23,26
68,1,23,26
69,1,23,26
70,1,23,26
71,1,23,26
72,1,23,26
73,1,23,26
74,1,23,26
75,1,23,26
76,1,23,26
77,2,23,25
78,2,23,25
79,2,23,25
80,2,22,26
81,2,22,26
82,2,21,27
83,2,21,27
84,2,21,27
85,2,21,27
86,2,21,27
87,2,21,27
88,2,21,27
89,2,21,27
90,2,22,26
91,2,22,26
92,2,23,25
93,2,23,25
94,2,23,25
95,2,23,25
96,2,23,25
97,2,23,25
98,2,23,25
99,2,24,24
100,2,24,24
