Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.23821689330919413,28,28.000000000000004%,10,10.0%,18,NaN,0,0.0,2.6468543701021567,10,100.0,0.0,0,0.0
2,0.1939643057842632,10,10.0%,9,9.0%,17,NaN,0,0.0,1.922112848129591,8,0.0,0.4194829890520003,1,0.0
3,0.3367830988496756,35,35.0%,10,10.0%,15,NaN,0,0.0,3.7796945622398535,9,100.0,0.8601883467621831,1,0.0
4,0.20905360820720695,12,12.0%,9,9.0%,14,NaN,0,0.0,2.1684747492994827,8,100.0,1.1858542754416117,1,0.0
5,0.29013948139009244,35,35.0%,10,10.0%,13,NaN,0,0.0,3.201841149795932,9,100.0,1.699609470320894,1,0.0
6,0.20167884910763337,17,17.0%,9,9.0%,12,NaN,0,0.0,2.1084166688373838,8,100.0,3.300551560064266,1,100.0
7,0.2053302993906572,23,23.0%,10,10.0%,12,NaN,0,0.0,2.218275092666388,9,100.0,2.7868291977346167,1,100.0
8,0.1288858801046242,6,6.0%,5,5.0%,12,NaN,0,0.0,1.3343533142815092,4,0.0,2.213761496210348,1,100.0
9,0.22230623537844046,28,28.000000000000004%,9,9.0%,11,NaN,0,0.0,2.4918222246000012,8,100.0,4.787867965644035,1,100.0
10,0.226281376156218,16,16.0%,9,9.0%,11,NaN,0,0.0,2.7787259518621736,8,100.0,3.177055952586586,1,100.0
