Iteration,Cheesecake,Profiterole,Mudcake
1,0,7,1
2,0,11,1
3,0,12,1
4,0,7,2
5,0,12,2
6,0,5,1
7,0,5,0
8,0,2,0
9,0,2,0
10,0,1,0
