Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.4402842900862191,8,16.0%,8,16.0%,53,NaN,0,0.0,0.623758109315242,7,0.0,0.16507356124268482,1,0.0
2,0.7554903793505541,12,24.0%,12,24.0%,48,NaN,0,0.0,1.3657680851262843,11,0.0,0.04993225939544581,1,0.0
3,0.6899620503955534,13,26.0%,13,26.0%,43,NaN,0,0.0,1.3251245264208704,12,0.0,0.16844461785479864,1,0.0
4,0.5771018946520681,9,18.0%,9,18.0%,38,NaN,0,0.0,1.0061635987259048,7,0.0,0.5518327970971003,2,0.0
5,0.6492144746297279,14,28.000000000000004%,14,28.000000000000004%,33,NaN,0,0.0,1.513420076740513,12,0.0,0.43493019584643,2,0.0
6,0.34378706947055643,8,16.0%,6,12.0%,29,NaN,0,0.0,0.9612722781655993,5,0.0,0.18089970228782298,1,0.0
7,0.22643121532552332,5,10.0%,5,10.0%,26,NaN,0,0.0,0.808682911876869,5,0.0,0.0,0,0.0
8,0.12127574838959249,2,4.0%,2,4.0%,23,NaN,0,0.0,0.5053156182899686,2,0.0,0.0,0,0.0
9,0.06980898629918306,2,4.0%,2,4.0%,20,NaN,0,0.0,0.3490449314959153,2,0.0,0.0,0,0.0
10,0.015940497265329968,1,2.0%,1,2.0%,18,NaN,0,0.0,0.08855831814072204,1,0.0,0.0,0,0.0
