Iteration,Passenger_ID,X,Y,Utility,Neighbours,Interest
100,1,609,369,0.0,0,0,1
100,2,603,617,0.0,0,0,1
100,3,501,680,0.0,0,0,1
100,4,531,389,0.0,0,0,1
100,5,445,392,0.0,0,0,1
100,6,556,548,0.0,0,0,2
100,7,449,560,0.0,0,0,2
100,8,252,608,0.0,0,0,2
100,9,387,372,0.0,0,0,2
100,10,618,551,0.0,0,0,2
100,11,400,326,0.0,0,0,2
100,12,698,364,0.0,0,0,2
100,13,544,430,0.0,0,0,2
100,14,559,382,0.0,0,0,2
100,15,599,388,0.0,0,0,2
100,16,385,460,0.0,0,0,2
100,17,475,230,0.0,0,0,2
100,18,577,341,0.0,0,0,2
100,19,342,633,0.0,0,0,2
100,20,414,600,0.0,0,0,2
100,21,596,447,0.0,0,0,2
100,22,665,492,0.0,0,0,2
100,23,539,513,0.0,0,0,2
100,24,531,525,0.0,0,0,2
100,25,588,475,0.0,0,0,2
100,26,579,374,0.0,0,0,2
100,27,478,750,0.0,0,0,2
100,28,492,536,0.0,0,0,2
100,29,652,470,0.0,0,0,2
100,30,444,288,0.0,0,0,2
100,31,632,366,0.0,0,0,3
100,32,768,499,0.0,0,0,3
100,33,466,651,0.0,0,0,3
100,34,452,545,0.0,1,0,3
100,35,480,405,0.0,1,0,3
100,36,507,440,0.0,1,0,3
100,37,700,558,0.0,0,0,3
100,38,266,258,0.0,0,0,3
100,39,551,421,0.0,0,0,3
100,40,586,369,0.0,0,0,3
100,41,362,459,0.0,0,0,3
100,42,415,566,0.0,1,0,3
100,43,379,625,0.0,0,0,3
100,44,509,422,0.0,1,0,3
100,45,447,590,0.0,0,0,3
100,46,489,285,0.0,0,0,3
100,47,312,459,0.0,0,0,3
100,48,630,499,0.0,0,0,3
100,49,371,418,0.0,0,0,3
100,50,560,567,0.0,0,0,3

