Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.6400099760861111,10,20.0%,10,20.0%,53,NaN,0,0.0,1.066683293476852,10,0.0,0.0,0,0.0
2,0.816983275150696,13,26.0%,13,26.0%,48,NaN,0,0.0,1.3683610876854768,12,0.0,0.21685635500149633,1,0.0
3,0.9650188853248557,16,32.0%,16,32.0%,43,NaN,0,0.0,1.8272220490269826,14,0.0,0.27485094309969993,2,0.0
4,0.6457553971553918,14,28.000000000000004%,13,26.0%,38,NaN,0,0.0,1.1491878729836262,10,0.0,0.582487466079531,3,0.0
5,0.7542270669190931,15,30.0%,14,28.000000000000004%,33,NaN,0,0.0,1.8512203392992335,11,0.0,0.3657822698807049,3,0.0
6,0.3155673833238632,11,22.0%,8,16.0%,29,NaN,0,0.0,0.7547935718321005,6,0.0,0.37016720168795497,2,0.0
7,0.38148643746267724,6,12.0%,6,12.0%,26,NaN,0,0.0,1.2106270245353445,5,0.0,0.23617150329322648,1,0.0
8,0.21742037458442035,5,10.0%,4,8.0%,23,NaN,0,0.0,0.9059182274350848,4,0.0,0.0,0,0.0
9,0.1773464291597217,4,8.0%,4,8.0%,20,NaN,0,0.0,0.8867321457986085,4,0.0,0.0,0,0.0
10,0.020765763683895287,2,4.0%,2,4.0%,18,NaN,0,0.0,0.11536535379941827,2,0.0,0.0,0,0.0
