Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.19710490432696134,20,20.0%,7,7.000000000000001%,13,NaN,0,0.0,3.2850817387826887,7,100.0,0.0,0,0.0
2,0.08473625108173816,6,6.0%,6,6.0%,12,NaN,0,0.0,1.4122708513623026,6,100.0,0.0,0,0.0
3,0.03490654115187642,1,1.0%,1,1.0%,10,NaN,0,0.0,0.6981308230375284,1,0.0,0.0,0,0.0
4,0.021158840175887518,1,1.0%,1,1.0%,8,NaN,0,0.0,0.5289710043971879,1,0.0,0.0,0,0.0
5,0.0398696002053226,1,1.0%,1,1.0%,6,NaN,0,0.0,1.3289866735107532,1,0.0,NaN,0,0.0
6,0.0,1,1.0%,0,0.0%,5,NaN,0,0.0,0.0,0,0.0,NaN,0,0.0
7,0.0,0,0.0%,0,0.0%,4,NaN,0,0.0,0.0,0,0.0,NaN,0,0.0
8,0.0,0,0.0%,0,0.0%,3,NaN,0,0.0,NaN,0,0.0,NaN,0,0.0
9,0.0,0,0.0%,0,0.0%,3,NaN,0,0.0,NaN,0,0.0,NaN,0,0.0
10,0.0,0,0.0%,0,0.0%,3,NaN,0,0.0,NaN,0,0.0,NaN,0,0.0
