Iteration,Cheesecake,Profiterole,Mucake
1,1,24,18
2,0,25,21
3,0,28,18
4,1,25,20
5,0,28,18
6,0,28,19
7,0,29,18
8,0,27,20
9,0,27,20
10,0,27,20
11,0,24,23
12,0,24,23
13,0,25,22
14,0,25,22
15,0,25,23
16,0,25,24
17,0,23,26
18,0,24,25
19,0,25,24
20,0,26,23
21,0,27,22
22,0,28,21
23,0,28,21
24,0,28,21
25,0,27,22
26,0,26,23
27,0,26,23
28,0,25,24
29,0,25,24
30,0,26,23
31,0,26,23
32,0,25,24
33,0,27,22
34,0,27,22
35,0,27,22
36,0,27,22
37,0,27,22
38,0,27,23
39,0,29,21
40,0,28,22
41,0,28,22
42,0,28,22
43,0,25,25
44,0,25,25
45,0,25,25
46,0,25,25
47,0,24,26
48,0,25,25
49,0,25,25
50,0,25,25
51,0,23,27
52,0,23,27
53,0,23,27
54,0,23,27
55,0,23,27
56,0,25,25
57,0,25,25
58,0,25,25
59,0,25,25
60,0,26,24
61,0,26,24
62,0,25,25
63,0,25,25
64,0,25,25
65,0,25,25
66,0,25,25
67,0,24,26
68,0,24,26
69,0,25,25
70,0,25,25
71,0,25,25
72,0,24,26
73,0,24,26
74,0,23,27
75,0,22,28
76,0,22,28
77,0,22,28
78,0,22,28
79,0,22,28
80,0,21,29
81,0,21,29
82,0,21,29
83,0,21,29
84,0,21,29
85,0,20,30
86,1,19,30
87,1,19,30
88,1,19,30
89,1,18,31
90,1,18,31
91,1,19,30
92,1,19,30
93,1,19,30
94,1,19,30
95,1,19,30
96,1,19,30
97,1,19,30
98,1,19,30
99,1,19,30
100,1,18,31
