Iteration,Cheesecake,Profiterole,Mudcake
1,0,30,21
2,0,31,21
3,0,31,21
4,0,34,21
5,0,36,21
6,0,37,19
7,0,36,20
8,0,37,20
9,0,37,21
10,0,40,20
