Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.6939539443490065,12,24.0%,12,24.0%,53,NaN,0,0.0,0.8971961899161608,9,0.0,0.38909057599827523,3,0.0
2,0.945862805767418,17,34.0%,17,34.0%,48,NaN,0,0.0,1.2768504433604864,13,0.0,0.7121210176465426,4,0.0
3,0.9222488653629334,16,32.0%,16,32.0%,43,NaN,0,0.0,1.5285496223452053,13,0.0,0.5892032707413588,3,0.0
4,0.9551607657722829,16,32.0%,15,30.0%,38,NaN,0,0.0,1.7827533901233543,12,0.0,0.7371583640016934,3,0.0
5,0.5270235281846084,14,28.000000000000004%,12,24.0%,33,NaN,0,0.0,0.9462432716802811,9,0.0,0.7765664599154466,3,0.0
6,0.7255538413314865,13,26.0%,12,24.0%,29,NaN,0,0.0,2.0889022117366065,10,0.0,0.2855256678788618,2,0.0
7,0.5076930993488504,11,22.0%,10,20.0%,28,NaN,0,0.0,1.471806777118867,9,0.0,0.20397183706007244,1,0.0
8,0.26781331151832677,6,12.0%,6,12.0%,25,NaN,0,0.0,0.9564761125654526,6,0.0,0.0,0,0.0
9,0.29037700349779094,5,10.0%,5,10.0%,22,NaN,0,0.0,1.2099041812407956,5,0.0,0.0,0,0.0
10,0.12416927127344823,3,6.0%,2,4.0%,19,NaN,0,0.0,0.6208463563672412,2,0.0,0.0,0,0.0
