Iteration,Passenger_ID,X,Y,Utility,Neighbours,Interest
20,1,1387,871,0.0,0,0,1
20,2,1083,917,0.0,0,0,1
20,3,582,1489,0.0,0,0,1
20,4,643,913,0.0,0,0,1
20,5,751,1096,0.0,0,0,1
20,6,599,976,0.0,0,0,1
20,7,792,858,0.0,0,0,1
20,8,1000,1057,0.0,0,0,1
20,9,872,1062,0.0,0,0,1
20,10,982,890,0.0,0,0,1
20,11,593,952,0.0,0,0,1
20,12,1121,1519,0.0,0,0,1
20,13,883,1156,0.0,0,0,1
20,14,131,1020,0.0,0,0,1
20,15,1554,895,0.0,0,0,1
20,16,893,650,0.0,0,0,1
20,17,908,1477,0.0,0,0,1
20,18,1092,754,0.0,0,0,1
20,19,872,647,0.0,0,0,1
20,20,733,1189,0.0,0,0,1
20,21,786,1444,0.0,0,0,2
20,22,1133,1458,0.0,0,0,2
20,23,1190,740,0.0,0,0,2
20,24,595,1239,0.0,0,0,2
20,25,950,1234,0.0,0,0,2
20,26,832,856,0.0,0,0,2
20,27,680,1011,0.0,0,0,2
20,28,1051,1031,0.0,0,0,2
20,29,809,921,0.0,0,0,2
20,30,918,685,0.0,0,0,2
20,31,960,788,0.0,0,0,2
20,32,835,823,0.0,0,0,2
20,33,1007,1172,0.0,0,0,2
20,34,1158,987,0.0,0,0,2
20,35,1162,631,0.0,0,0,2
20,36,1384,1095,0.0,0,0,2
20,37,1125,874,0.0,0,0,2
20,38,1155,709,0.0,0,0,2
20,39,1638,918,0.0,0,0,2
20,40,496,925,0.0,0,0,2
20,41,1119,803,0.0,1,0,2
20,42,1308,1140,0.0,0,0,2
20,43,1511,993,0.0,0,0,2
20,44,849,1139,0.0,0,0,2
20,45,1208,1153,0.0,0,0,2
20,46,1011,736,0.0,1,0,2
20,47,1456,956,0.0,0,0,2
20,48,876,1249,0.0,0,0,2
20,49,686,828,0.0,0,0,2
20,50,1017,1120,0.0,0,0,2
20,51,997,774,0.0,1,0,2
20,52,725,1089,0.0,0,0,2
20,53,882,1005,0.0,0,0,2
20,54,1023,1257,0.0,0,0,2
20,55,939,758,0.0,0,0,2
20,56,1123,1304,0.0,0,0,2
20,57,752,827,0.0,0,0,2
20,58,962,852,0.0,0,0,2
20,59,795,866,0.0,0,0,2
20,60,828,1176,0.0,0,0,2
20,61,1079,952,0.0,0,0,2
20,62,1349,855,0.0,0,0,2
20,63,875,854,0.0,0,0,2
20,64,1022,552,0.0,0,0,2
20,65,960,1046,0.0,0,0,2
20,66,1463,397,0.0,0,0,2
20,67,968,489,0.0,0,0,2
20,68,980,1223,0.0,0,0,2
20,69,892,897,0.0,0,0,2
20,70,1196,786,0.0,0,0,2
20,71,1345,1160,0.0,0,0,2
20,72,988,764,0.0,1,0,2
20,73,1138,611,0.0,0,0,2
20,74,1148,900,0.0,0,0,2
20,75,936,1112,0.0,0,0,2
20,76,742,694,0.0,0,0,2
20,77,1050,1171,0.0,0,0,2
20,78,872,822,0.0,0,0,2
20,79,946,1375,0.0,0,0,2
20,80,724,1052,0.0,0,0,2
20,81,1577,852,0.0,0,0,2
20,82,920,995,0.0,0,0,2
20,83,955,810,0.0,0,0,2
20,84,744,1160,0.0,0,0,2
