Iteration,Cheesecake,Profiterole,Mucake
1,0,22,24
2,0,24,23
3,0,19,29
4,0,23,25
5,0,20,28
6,0,19,29
7,0,21,27
8,0,19,29
9,0,17,31
10,0,20,28
11,0,19,29
12,0,21,27
13,0,20,28
14,0,21,27
15,0,21,27
16,0,20,28
17,0,22,26
18,0,24,24
19,0,24,24
20,0,25,23
21,0,25,23
22,0,26,22
23,0,27,21
24,0,27,21
25,0,27,21
26,0,27,21
27,0,27,21
28,0,27,21
29,0,24,24
30,0,24,24
31,0,23,25
32,0,22,26
33,0,23,25
34,0,23,25
35,0,23,25
36,0,23,25
37,0,23,25
38,0,23,25
39,0,23,25
40,0,23,25
41,0,21,27
42,0,22,26
43,0,23,25
44,0,26,22
45,0,25,23
46,0,25,23
47,0,25,23
48,0,25,23
49,0,25,23
50,0,25,23
51,0,25,23
52,0,26,22
53,0,26,22
54,0,26,22
55,0,27,21
56,0,27,21
57,0,27,21
58,0,27,21
59,0,27,21
60,0,27,21
61,0,27,21
62,0,26,22
63,0,26,22
64,0,26,22
65,0,25,23
66,0,26,22
67,0,27,21
68,0,27,21
69,0,27,21
70,0,27,21
71,0,27,21
72,0,27,21
73,0,26,22
74,0,26,22
75,0,26,22
76,0,26,22
77,0,26,22
78,0,26,22
79,0,26,22
80,0,27,21
81,0,28,20
82,0,28,20
83,0,28,20
84,0,28,20
85,0,28,20
86,0,28,20
87,0,28,20
88,0,28,20
89,0,28,20
90,0,28,20
91,0,28,20
92,0,28,20
93,0,28,20
94,0,28,20
95,0,27,21
96,0,28,20
97,0,28,20
98,0,28,20
99,0,27,21
100,0,27,21
