Iteration,Cheesecake,Profiterole,Mudcake
1,0,12,8
2,0,12,6
3,0,12,8
4,0,11,7
5,0,10,7
6,0,10,8
7,0,9,7
8,0,10,2
9,0,10,0
10,0,10,0
