Iteration,Passenger_ID,X,Y,Utility,Neighbours,Interest
80,1,259,466,0.0,0,0,1
80,2,457,396,0.0,1,0,1
80,3,341,583,0.0,0,0,1
80,4,731,442,0.0,0,0,1
80,5,534,482,0.0,1,0,1
80,6,99,641,0.0,1,0,2
80,7,429,377,4.717157287525381,11,1,2
80,8,394,434,5.0,17,1,2
80,9,614,556,4.683772233983162,10,1,2
80,10,398,684,4.793844718719117,8,1,2
80,11,754,270,0.0,0,0,2
80,12,345,681,4.65,5,1,2
80,13,573,357,4.793844718719117,7,1,2
80,14,287,523,4.85,8,1,2
80,15,727,575,4.841886116991581,6,1,2
80,16,468,650,5.0,12,1,2
80,17,366,509,4.929289321881345,13,1,2
80,18,660,559,4.888196601125011,9,1,2
80,19,528,567,4.8197224362268,18,1,2
80,20,415,442,4.9,14,1,2
80,21,575,420,4.717157287525381,14,1,2
80,22,638,361,4.635994505535973,7,1,2
80,23,486,621,4.929289321881345,16,1,2
80,24,488,441,4.95,19,1,2
80,25,679,653,4.776393202250022,9,1,2
80,26,353,453,4.683772233983162,13,1,2
80,27,388,526,4.85,16,1,2
80,28,835,533,0.0,1,0,2
80,29,433,364,4.776393202250022,12,1,2
80,30,495,373,4.745049024320361,14,1,2
80,31,474,534,5.0,23,1,3
80,32,411,395,4.8197224362268,16,1,3
80,33,490,564,4.8,25,1,3
80,34,710,468,4.52830094339717,8,1,3
80,35,450,661,4.75,14,1,3
80,36,575,415,4.929289321881345,14,1,3
80,37,639,470,4.776393202250022,12,1,3
80,38,429,414,4.9,17,1,3
80,39,498,444,4.85,19,1,3
80,40,345,464,4.8197224362268,16,1,3
80,41,432,563,5.0,21,1,3
80,42,575,556,4.776393202250022,17,1,3
80,43,471,550,4.95,23,1,3
80,44,336,451,4.858578643762691,14,1,3
80,45,665,386,4.787867965644035,11,1,3
80,46,302,451,4.776393202250022,11,1,3
80,47,461,446,4.776393202250022,20,1,3
80,48,637,680,4.745049024320361,5,1,3
80,49,366,416,4.6958618734850885,15,1,3
80,50,504,520,4.888196601125011,22,1,3

