Iteration,Passenger_ID,X,Y,Utility,Neighbours,Interest
100,1,259,466,0.0,0,0,1
100,2,457,396,0.0,1,0,1
100,3,341,583,0.0,0,0,1
100,4,731,442,0.0,0,0,1
100,5,534,482,0.0,0,0,1
100,6,99,641,0.0,0,0,2
100,7,429,377,4.717157287525381,16,1,2
100,8,394,434,5.0,24,1,2
100,9,614,556,4.683772233983162,13,1,2
100,10,398,684,4.793844718719117,7,1,2
100,11,754,270,0.0,0,0,2
100,12,345,681,4.65,3,1,2
100,13,573,357,4.793844718719117,17,1,2
100,14,287,523,4.85,7,1,2
100,15,727,575,4.841886116991581,6,1,2
100,16,468,650,5.0,9,1,2
100,17,366,509,4.929289321881345,18,1,2
100,18,660,559,4.888196601125011,12,1,2
100,19,528,567,4.8197224362268,10,1,2
100,20,415,442,4.9,25,1,2
100,21,575,420,4.717157287525381,20,1,2
100,22,638,361,4.635994505535973,15,1,2
100,23,486,621,4.929289321881345,8,1,2
100,24,488,441,4.95,24,1,2
100,25,679,653,4.776393202250022,6,1,2
100,26,353,453,4.708452405257734,20,1,2
100,27,388,526,4.85,16,1,2
100,28,835,533,0.0,1,0,2
100,29,433,364,4.929289321881345,15,1,2
100,30,495,373,4.787867965644035,19,1,2
100,31,474,534,5.0,25,1,3
100,32,411,395,4.8197224362268,16,1,3
100,33,490,564,4.8,24,1,3
100,34,710,468,4.52830094339717,5,1,3
100,35,450,661,4.841886116991581,12,1,3
100,36,575,415,4.929289321881345,13,1,3
100,37,639,470,4.776393202250022,8,1,3
100,38,429,414,4.9,19,1,3
100,39,498,444,4.85,18,1,3
100,40,345,464,4.8197224362268,12,1,3
100,41,432,563,5.0,22,1,3
100,42,575,556,4.858578643762691,14,1,3
100,43,471,550,4.95,24,1,3
100,44,336,451,4.858578643762691,10,1,3
100,45,665,386,4.787867965644035,8,1,3
100,46,302,451,4.776393202250022,9,1,3
100,47,461,446,4.888196601125011,21,1,3
100,48,637,680,4.745049024320361,5,1,3
100,49,366,416,4.6958618734850885,13,1,3
100,50,504,520,4.888196601125011,25,1,3

