Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.39074211269259634,26,26.0%,16,16.0%,20,NaN,0,0.0,3.0813986214730544,11,100.0,1.180032150647012,5,0.0
2,0.4327879672222408,33,33.0%,14,14.000000000000002%,19,NaN,0,0.0,2.964216184519554,10,100.0,2.2727724795047566,4,0.0
3,0.3985098588302401,37,37.0%,16,16.0%,19,NaN,0,0.0,2.442989734258525,11,100.0,2.570181423406461,5,0.0
4,0.2938434552861002,19,19.0%,14,14.000000000000002%,19,NaN,0,0.0,1.7416507670536046,8,0.0,1.9946396430123292,6,100.0
5,0.37012751820734835,35,35.0%,13,13.0%,17,NaN,0,0.0,3.068471280946386,10,100.0,1.8793020584434728,3,0.0
6,0.3172192963396698,26,26.0%,13,13.0%,16,NaN,0,0.0,2.7212974940941197,10,100.0,1.807563046779975,3,0.0
7,0.22568513125580858,34,34.0%,10,10.0%,15,NaN,0,0.0,2.507612569508984,10,100.0,0.0,0,0.0
8,0.29555306739918813,29,28.999999999999996%,10,10.0%,14,NaN,0,0.0,3.2839229711020903,10,100.0,0.0,0,0.0
9,0.19327585024624297,25,25.0%,10,10.0%,13,NaN,0,0.0,2.1475094471804774,10,100.0,0.0,0,0.0
10,0.22936252135857252,18,18.0%,8,8.0%,12,NaN,0,0.0,2.5484724595396946,8,0.0,NaN,0,0.0
