Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,1.0383502103429267,78,78.0%,41,41.0%,43,NaN,0,0.0,2.9091759705542963,25,100.0,2.1259248588118465,16,100.0
2,1.3529427472634863,86,86.0%,41,41.0%,43,NaN,0,0.0,3.371683878037107,24,100.0,3.398366353341127,17,100.0
3,1.3504051182383434,86,86.0%,41,41.0%,43,NaN,0,0.0,3.5067958673347945,24,100.0,3.1798381879874538,17,100.0
4,1.2910630168873114,87,87.0%,44,44.0%,45,NaN,0,0.0,3.3088685142732777,27,100.0,2.692232519851622,17,100.0
5,1.4429344563972717,83,83.0%,44,44.0%,45,NaN,0,0.0,3.749922537827187,27,100.0,2.924716228513769,17,100.0
6,1.4024968526938144,89,89.0%,45,45.0%,47,NaN,0,0.0,3.3298031339158354,28,100.0,2.9384498449836247,17,100.0
7,1.3981218040714825,83,83.0%,46,46.0%,47,NaN,0,0.0,3.509352917508727,29,100.0,2.596893669806495,17,100.0
8,1.4510302186829243,89,89.0%,48,48.0%,49,NaN,0,0.0,3.419513001216312,31,100.0,2.6573519894876885,17,100.0
9,1.4796995721226234,91,91.0%,48,48.0%,49,NaN,0,0.0,3.4396478019736594,31,100.0,2.7987826970657825,17,100.0
10,1.4222766619151181,85,85.0%,46,46.0%,49,NaN,0,0.0,3.375049936511428,31,100.0,2.56101050601056,15,0.0
