Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.1779926883629253,24,24.0%,11,11.0%,18,NaN,0,0.0,1.6286141588563714,10,100.0,0.5236235677641977,1,0.0
2,0.30448829057753957,32,32.0%,10,10.0%,16,NaN,0,0.0,3.268603632219244,9,100.0,0.86,1,0.0
3,0.2988200424619197,37,37.0%,10,10.0%,15,NaN,0,0.0,3.169953571944442,9,100.0,1.1305939176591076,1,0.0
4,0.1615438211203087,14,14.000000000000002%,9,9.0%,14,NaN,0,0.0,1.65659307110065,8,100.0,0.9672125144085567,1,0.0
5,0.2310229232020058,18,18.0%,9,9.0%,12,NaN,0,0.0,2.6574703314572257,8,100.0,2.25,1,0.0
6,0.14673110228270353,8,8.0%,8,8.0%,12,NaN,0,0.0,1.7320368455198702,7,100.0,1.274426154815631,1,0.0
7,0.20851536970781173,8,8.0%,8,8.0%,10,NaN,0,0.0,2.792845914099152,7,100.0,4.094461486186258,1,100.0
8,0.15348550920195403,7,7.000000000000001%,7,7.000000000000001%,10,NaN,0,0.0,2.2890919184771343,6,100.0,1.6139994093325973,1,100.0
9,0.08058570725242958,4,4.0%,3,3.0%,9,NaN,0,0.0,1.3430951208738264,3,0.0,NaN,0,0.0
10,0.13222671484273657,7,7.000000000000001%,6,6.0%,8,NaN,0,0.0,2.644534296854731,6,100.0,NaN,0,0.0
