Iteration,Cheesecake,Profiterole,Mudcake
1,0,10,1
2,0,9,1
3,0,9,1
4,0,8,1
5,0,8,1
6,0,7,1
7,0,7,1
8,0,6,1
9,0,3,0
10,0,6,0
