Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.4564653277199464,50,50.0%,18,18.0%,19,NaN,0,0.0,2.8396877727247256,11,100.0,2.8749425074578974,7,100.0
2,0.42523432718327525,42,42.0%,16,16.0%,19,NaN,0,0.0,2.459655379450613,10,100.0,2.9878131539702317,6,100.0
3,0.25898746428783787,14,14.000000000000002%,13,13.0%,19,NaN,0,0.0,1.648967040704515,7,0.0,1.5681793369564394,6,100.0
4,0.31196785857241266,37,37.0%,11,11.0%,17,NaN,0,0.0,2.953063834726051,10,100.0,0.9238422689413609,1,0.0
5,0.20277956183222148,36,36.0%,10,10.0%,16,NaN,0,0.0,2.1282406302094454,9,100.0,0.28094762783428473,1,0.0
6,0.13629128554773237,13,13.0%,7,7.000000000000001%,15,NaN,0,0.0,1.5143476171970263,7,0.0,0.0,0,0.0
7,0.21002426080083153,22,22.0%,9,9.0%,13,NaN,0,0.0,2.6253032600103943,9,100.0,0.0,0,0.0
8,0.19417965153928773,26,26.0%,9,9.0%,12,NaN,0,0.0,2.4272456442410966,9,100.0,0.0,0,0.0
9,0.20421128011463727,13,13.0%,8,8.0%,11,NaN,0,0.0,2.5526410014329657,8,100.0,NaN,0,0.0
10,0.19033831039640037,21,21.0%,8,8.0%,11,NaN,0,0.0,2.3792288799550048,8,100.0,NaN,0,0.0
