Iteration,Vehicle_ID,X,Y,Utility,Capacity,Neighbours
20,0,527,439,4.929289321881345,0,0,2
20,1,704,477,4.888196601125011,0,0,3
20,2,479,527,4.8197224362268,0,0,2
20,3,677,646,0.0,1,0,2
20,4,589,695,4.490098048640721,0,0,3
20,5,482,488,5.0,0,0,3
20,6,404,522,0.0,1,0,3
20,7,460,594,4.646446609406726,0,0,3
20,8,306,599,5.0,0,0,3
20,9,418,307,4.609487516204668,0,0,3
20,10,657,480,0.0,1,0,3
20,11,496,498,4.745049024320361,0,0,2
20,12,510,408,4.717157287525381,0,0,2
20,13,431,442,4.745049024320361,0,0,2
20,14,500,621,4.776393202250022,0,0,2
20,15,529,490,4.8197224362268,0,0,2
20,16,720,448,4.4,0,0,2
20,17,612,530,4.888196601125011,0,0,3
20,18,494,425,4.929289321881345,0,0,3
20,19,542,620,4.8197224362268,0,0,3
20,20,704,273,4.292893218813452,0,0,2
20,21,616,350,0.0,1,0,2
20,22,599,461,4.95,0,0,2
20,23,485,410,4.95,0,0,2
20,24,451,597,4.95,0,0,3
20,25,439,479,4.841886116991581,0,0,3
20,26,460,572,4.730741759643275,0,0,3
20,27,339,526,4.609487516204668,0,0,2
20,28,607,678,4.730741759643275,0,0,2
20,29,575,588,4.708452405257734,0,0,2
20,30,460,535,4.708452405257734,0,0,3
20,31,542,567,0.0,1,0,3
20,32,440,509,4.888196601125011,0,0,3
20,33,459,541,4.6958618734850885,0,0,3
20,34,279,491,4.381534156157351,0,0,3
20,35,391,310,4.679843788128358,0,0,2
20,36,758,495,4.429912287450431,0,0,3
20,37,692,325,4.6958618734850885,0,0,3
20,38,423,439,4.745049024320361,0,0,3
20,39,640,504,4.9,0,0,3
20,40,458,626,4.858578643762691,0,0,3
20,41,299,512,4.6958618734850885,0,0,3
20,42,414,361,4.745049024320361,0,0,2
20,43,533,612,4.8,0,0,3
20,44,611,503,0.0,1,0,2
20,45,535,556,4.888196601125011,0,0,2
20,46,611,428,4.65,0,0,2
20,47,471,558,4.679843788128358,0,0,3
20,48,622,446,0.0,1,0,1
20,49,452,344,0.0,1,0,2
20,50,539,566,4.95,0,0,2
20,51,581,277,0.0,1,0,2
20,52,444,401,0.0,1,0,2
20,53,430,397,0.0,1,0,2
20,54,374,411,0.0,1,0,2
20,55,301,530,0.0,1,0,2
20,56,532,458,0.0,1,0,2
20,57,690,597,0.0,1,0,2
20,58,641,360,0.0,1,0,2
20,59,418,493,0.0,1,0,2
20,60,349,490,0.0,1,0,2
20,61,426,494,0.0,1,0,2
20,62,545,476,0.0,1,0,2
20,63,602,200,0.0,1,0,2
20,64,493,543,0.0,1,0,2
20,65,426,571,0.0,1,0,2
20,66,515,757,0.0,1,0,2
20,67,211,861,0.0,1,0,2
20,68,786,663,0.0,1,0,2
20,69,722,327,0.0,1,0,2
20,70,560,392,0.0,1,0,2
20,71,195,453,0.0,1,0,2
20,72,285,500,0.0,1,0,2
20,73,450,735,0.0,1,0,2
20,74,270,470,0.0,1,0,2
20,75,457,522,0.0,1,0,2
20,76,467,455,0.0,1,0,2
20,77,616,362,4.679843788128358,0,0,2
20,78,600,365,0.0,1,0,2
20,79,418,589,0.0,1,0,2
20,80,800,690,0.0,1,0,2
20,81,95,325,0.0,1,0,2
20,82,718,563,0.0,1,0,2
20,83,440,596,0.0,1,0,2
20,84,620,521,0.0,1,0,2
20,85,455,456,0.0,1,0,2
20,86,623,386,0.0,1,0,2
20,87,273,411,0.0,1,0,2
20,88,334,662,0.0,1,0,2
20,89,321,310,0.0,1,0,2
20,90,354,425,0.0,1,0,2
20,91,646,471,0.0,1,0,2
20,92,772,475,0.0,1,0,2
20,93,628,464,0.0,1,0,2
20,94,617,615,0.0,1,0,2
20,95,502,462,0.0,1,0,2
20,96,632,559,0.0,1,0,2
20,97,466,430,0.0,1,0,2
20,98,320,403,0.0,1,0,2
20,99,635,578,0.0,1,0,2
20,100,647,448,0.0,1,0,2
20,101,412,488,0.0,1,0,2
20,102,576,563,0.0,1,0,2
20,103,459,628,0.0,1,0,2
20,104,871,513,0.0,1,0,2
20,105,504,467,0.0,1,0,2
20,106,677,390,0.0,1,0,2
20,107,608,497,4.929289321881345,0,0,2
20,108,217,677,0.0,1,0,2
20,109,461,665,0.0,1,0,2
20,110,350,242,0.0,1,0,2
20,111,571,504,0.0,1,0,2
20,112,486,368,0.0,1,0,2
20,113,439,594,0.0,1,0,2
20,114,315,560,0.0,1,0,2
20,115,432,336,0.0,1,0,2
20,116,612,545,0.0,1,0,2
20,117,451,366,0.0,1,0,2
20,118,371,522,0.0,1,0,3
20,119,523,247,0.0,1,0,3
20,120,401,524,4.85,0,0,3
20,121,305,657,0.0,1,0,3
20,122,119,314,0.0,1,0,3
20,123,359,335,0.0,1,0,3
20,124,443,453,0.0,1,0,3
20,125,410,667,0.0,1,0,3
20,126,641,715,0.0,1,0,3
20,127,504,276,0.0,1,0,3
20,128,704,589,0.0,1,0,3
20,129,413,511,0.0,1,0,3
20,130,515,620,0.0,1,0,3
20,131,654,672,0.0,1,0,3
20,132,722,564,0.0,1,0,3
20,133,99,347,0.0,1,0,3
20,134,568,671,0.0,1,0,3
20,135,404,288,0.0,1,0,3
20,136,553,366,0.0,1,0,3
20,137,821,298,0.0,1,0,3
20,138,513,376,0.0,1,0,3
20,139,514,422,0.0,1,0,3
20,140,427,481,0.0,1,0,3
20,141,379,388,0.0,1,0,3
20,142,663,488,4.793844718719117,0,0,3
20,143,258,848,0.0,1,0,3
20,144,341,630,0.0,1,0,3
20,145,353,640,0.0,1,0,3
20,146,340,405,0.0,1,0,3
20,147,807,717,0.0,1,0,3
20,148,397,604,0.0,1,0,3
20,149,514,476,0.0,1,0,3
20,150,201,340,0.0,1,0,3
20,151,410,476,0.0,1,0,3
20,152,664,339,0.0,1,0,3
20,153,463,452,0.0,1,0,3
20,154,543,735,0.0,1,0,3
20,155,491,571,0.0,1,0,3
20,156,553,435,0.0,1,0,3
20,157,478,387,0.0,1,0,3
20,158,654,252,0.0,1,0,3
20,159,410,612,0.0,1,0,3
20,160,318,666,0.0,1,0,3
20,161,414,636,0.0,1,0,3
20,162,541,537,0.0,1,0,3
20,163,472,475,0.0,1,0,3
20,164,533,471,0.0,1,0,3
20,165,241,657,0.0,1,0,3
20,166,578,333,0.0,1,0,3
20,167,259,302,0.0,1,0,3
20,168,476,711,0.0,1,0,3
20,169,513,468,0.0,1,0,3
20,170,369,413,0.0,1,0,3
20,171,405,591,0.0,1,0,3
20,172,582,432,0.0,1,0,3
20,173,655,656,0.0,1,0,3
20,174,494,606,0.0,1,0,3
20,175,495,467,0.0,1,0,3
20,176,438,538,0.0,1,0,3
20,177,563,331,0.0,1,0,3
20,178,705,625,0.0,1,0,3
20,179,705,481,0.0,1,0,3
20,180,514,478,0.0,1,0,3
20,181,557,390,0.0,1,0,3
20,182,596,600,0.0,1,0,3
20,183,531,375,0.0,1,0,3
20,184,692,632,4.5968871125850725,0,0,3
20,185,438,440,0.0,1,0,3
20,186,684,483,0.0,1,0,3

