Iteration,Cheesecake,Profiterole,Mudcake
1,0,19,13
2,0,19,11
3,0,18,13
4,0,19,13
5,0,19,10
6,0,20,10
7,0,20,10
8,0,19,11
9,0,20,9
10,0,20,10
