Iteration,Cheesecake,Profiterole,Mudcake
1,0,11,8
2,0,11,8
3,0,11,5
4,0,11,7
5,0,10,7
6,0,11,7
7,0,10,7
8,0,11,5
9,0,11,7
10,0,11,7
