Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.5258256857587766,53,53.0%,19,19.0%,20,NaN,0,0.0,3.342319368720191,11,100.0,2.737053555525107,8,100.0
2,0.5011859228518243,55,55.00000000000001%,19,19.0%,20,NaN,0,0.0,2.8459811252579366,11,100.0,3.09411157608615,8,100.0
3,0.3820442877430967,46,46.0%,16,16.0%,20,NaN,0,0.0,2.457670300527929,11,100.0,1.9468179670043406,5,0.0
4,0.4113913643911769,45,45.0%,18,18.0%,19,NaN,0,0.0,2.5753534636513726,11,100.0,2.5642669671006586,7,100.0
5,0.4091479525526638,52,52.0%,17,17.0%,19,NaN,0,0.0,2.464421333272119,10,100.0,2.7117636537575316,7,100.0
6,0.3839541643706466,48,48.0%,18,18.0%,19,NaN,0,0.0,2.5004331547581518,11,100.0,2.2318474815805236,7,100.0
7,0.4464914738050758,36,36.0%,17,17.0%,19,NaN,0,0.0,2.6349045445425245,10,100.0,3.050016989180387,7,100.0
8,0.41234548518194303,36,36.0%,16,16.0%,19,NaN,0,0.0,2.8913185722143315,11,100.0,2.053560466008498,5,0.0
9,0.43104517384032753,51,51.0%,18,18.0%,19,NaN,0,0.0,3.0427080074329647,11,100.0,2.1129062182838507,7,100.0
10,0.44142734443269227,50,50.0%,18,18.0%,19,NaN,0,0.0,3.172322180629993,11,100.0,2.069918772828215,7,100.0
