Iteration,Passengers' mean utility,Vehicles' mean utility,% Interested passengers,% Matched passengers,% Matched Vehicles,Interested passengers,Matched passengers,Matched Vehicles,Total Vehicles
1,3.3712911336865345,[D@49cf9028,86.0%,86.0%,30.49645390070922%,43,43,43,141
2,3.7415009662075693,[D@2b61a019,88.0%,88.0%,25.882352941176475%,44,44,44,170
3,3.9327493487937004,[D@11a00961,92.0%,92.0%,29.29936305732484%,46,46,46,157
4,4.1159613935430635,[D@7ce9e05a,94.0%,94.0%,29.746835443037973%,47,47,47,158
5,4.20376876092189,[D@4992613f,94.0%,94.0%,29.375%,47,47,47,160
6,4.252641652661953,[D@6fd5717c,94.0%,94.0%,29.375%,47,47,47,160
7,4.350210312762183,[D@7e2f86e6,96.0%,96.0%,30.0%,48,48,48,160
8,4.3533594095918176,[D@4d774249,96.0%,96.0%,29.81366459627329%,48,48,48,161
9,4.387511356713201,[D@17b64941,96.0%,96.0%,28.07017543859649%,48,48,48,171
10,4.406142137086177,[D@53ac845a,96.0%,96.0%,28.07017543859649%,48,48,48,171
11,4.437065496777738,[D@5136207f,96.0%,96.0%,28.07017543859649%,48,48,48,171
12,4.445114619224328,[D@26a4551a,96.0%,96.0%,28.07017543859649%,48,48,48,171
13,4.456184717758623,[D@3fdecce,96.0%,96.0%,28.07017543859649%,48,48,48,171
14,4.457464940032988,[D@344426bf,96.0%,96.0%,28.07017543859649%,48,48,48,171
15,4.482078729584242,[D@5411dd90,96.0%,96.0%,26.229508196721312%,48,48,48,183
16,4.522985466999617,[D@50194e8d,96.0%,96.0%,26.229508196721312%,48,48,48,183
17,4.526629833861005,[D@3cee53dc,96.0%,96.0%,26.229508196721312%,48,48,48,183
18,4.529623261151386,[D@290aeb20,96.0%,96.0%,26.229508196721312%,48,48,48,183
19,4.5366130509246245,[D@73ad4ecc,96.0%,96.0%,26.229508196721312%,48,48,48,183
20,4.544601483412694,[D@69da0b12,96.0%,96.0%,26.229508196721312%,48,48,48,183
21,4.565708344862587,[D@2764c546,96.0%,96.0%,26.229508196721312%,48,48,48,183
22,4.5681626410661655,[D@59496961,96.0%,96.0%,26.229508196721312%,48,48,48,183
23,4.569324918726334,[D@408b87aa,96.0%,96.0%,26.229508196721312%,48,48,48,183
24,4.569887984424664,[D@79b08632,96.0%,96.0%,26.229508196721312%,48,48,48,183
25,4.570237014754046,[D@787f32b7,96.0%,96.0%,26.229508196721312%,48,48,48,183
26,4.570237014754046,[D@6aef4eb8,96.0%,96.0%,26.229508196721312%,48,48,48,183
27,4.571065441878792,[D@76c52298,96.0%,96.0%,26.229508196721312%,48,48,48,183
28,4.578199217572227,[D@bb9ab64,96.0%,96.0%,26.229508196721312%,48,48,48,183
29,4.578199217572227,[D@a52ca2e,96.0%,96.0%,26.229508196721312%,48,48,48,183
30,4.578199217572227,[D@1ad8df52,96.0%,96.0%,26.229508196721312%,48,48,48,183
31,4.578199217572227,[D@45d6ef73,96.0%,96.0%,26.229508196721312%,48,48,48,183
32,4.591196447465562,[D@3f29e26,96.0%,96.0%,26.229508196721312%,48,48,48,183
33,4.5965351681000985,[D@1f6d27cc,96.0%,96.0%,26.229508196721312%,48,48,48,183
34,4.600354028453211,[D@4393593c,96.0%,96.0%,26.229508196721312%,48,48,48,183
35,4.602545366166302,[D@314c8b4a,96.0%,96.0%,26.229508196721312%,48,48,48,183
36,4.60370764382647,[D@26d820eb,96.0%,96.0%,26.229508196721312%,48,48,48,183
37,4.604337789639206,[D@507d20bb,96.0%,96.0%,26.229508196721312%,48,48,48,183
38,4.604930148786452,[D@9fec931,96.0%,96.0%,26.229508196721312%,48,48,48,183
39,4.611474152531769,[D@5cbd159f,96.0%,96.0%,26.229508196721312%,48,48,48,183
40,4.615307666254035,[D@3b05a99b,96.0%,96.0%,26.229508196721312%,48,48,48,183
41,4.61770211497857,[D@2c43eb8,96.0%,96.0%,26.229508196721312%,48,48,48,183
42,4.61770211497857,[D@7d0cc890,96.0%,96.0%,26.229508196721312%,48,48,48,183
43,4.619708687688189,[D@49293b43,96.0%,96.0%,26.229508196721312%,48,48,48,183
44,4.623625925157891,[D@5ff60a8c,96.0%,96.0%,26.229508196721312%,48,48,48,183
45,4.626542398034644,[D@7ce4de34,96.0%,96.0%,26.229508196721312%,48,48,48,183
46,4.626542398034644,[D@67b7c170,96.0%,96.0%,26.229508196721312%,48,48,48,183
47,4.626542398034644,[D@67440de6,96.0%,96.0%,24.615384615384617%,48,48,48,195
48,4.634425481391663,[D@889d9e8,96.0%,96.0%,24.615384615384617%,48,48,48,195
49,4.636149553248868,[D@5246a3b3,96.0%,96.0%,24.615384615384617%,48,48,48,195
50,4.638311830909036,[D@ba354ca,96.0%,96.0%,24.615384615384617%,48,48,48,195
51,4.638311830909036,[D@4c4f4365,96.0%,96.0%,24.615384615384617%,48,48,48,195
52,4.638311830909036,[D@acf859d,96.0%,96.0%,24.615384615384617%,48,48,48,195
53,4.638897617346663,[D@6df3e44c,96.0%,96.0%,24.615384615384617%,48,48,48,195
54,4.638897617346663,[D@7ce7e83c,96.0%,96.0%,24.615384615384617%,48,48,48,195
55,4.639503168622126,[D@4a05d8ae,96.0%,96.0%,24.615384615384617%,48,48,48,195
56,4.63967474149738,[D@3c904f1e,96.0%,96.0%,24.615384615384617%,48,48,48,195
57,4.640832028206375,[D@4eb30d44,96.0%,96.0%,24.615384615384617%,48,48,48,195
58,4.641083838841827,[D@d56aaa6,96.0%,96.0%,24.615384615384617%,48,48,48,195
59,4.642289010326785,[D@6972c30a,96.0%,96.0%,24.615384615384617%,48,48,48,195
60,4.647039599194679,[D@57a48985,96.0%,96.0%,24.615384615384617%,48,48,48,195
61,4.647039599194679,[D@1ab6718,96.0%,96.0%,24.615384615384617%,48,48,48,195
62,4.647039599194679,[D@3910fe11,96.0%,96.0%,24.615384615384617%,48,48,48,195
63,4.649502626350128,[D@460510aa,96.0%,96.0%,24.615384615384617%,48,48,48,195
64,4.6531874323013485,[D@351e414e,96.0%,96.0%,24.615384615384617%,48,48,48,195
65,4.6531874323013485,[D@6fd77352,96.0%,96.0%,24.615384615384617%,48,48,48,195
66,4.654178622237781,[D@5109e8cf,96.0%,96.0%,24.615384615384617%,48,48,48,195
67,4.6567551134603224,[D@3f672204,96.0%,96.0%,24.615384615384617%,48,48,48,195
68,4.657519045482823,[D@78b41097,96.0%,96.0%,24.615384615384617%,48,48,48,195
