Iteration,Passenger_ID,X,Y,Utility,Neighbours,Interest
20,1,295,483,0.0,0,0,1
20,2,658,385,0.0,0,0,1
20,3,616,458,0.0,1,0,1
20,4,530,324,0.0,0,0,1
20,5,484,580,0.0,0,0,1
20,6,723,409,0.0,0,0,2
20,7,500,676,0.0,0,0,2
20,8,375,446,0.0,1,0,2
20,9,464,545,0.0,0,0,2
20,10,638,329,0.0,0,0,2
20,11,483,537,0.0,0,0,2
20,12,380,542,0.0,0,0,2
20,13,569,557,0.0,0,0,2
20,14,741,460,0.0,0,0,2
20,15,549,460,0.0,0,0,2
20,16,540,459,0.0,0,0,2
20,17,472,495,0.0,0,0,2
20,18,385,492,0.0,0,0,2
20,19,328,467,0.0,0,0,2
20,20,614,454,0.0,0,0,2
20,21,605,335,0.0,0,0,2
20,22,370,682,0.0,0,0,2
20,23,292,518,0.0,0,0,2
20,24,603,417,0.0,0,0,2
20,25,530,577,0.0,0,0,2
20,26,635,433,0.0,0,0,2
20,27,402,616,0.0,0,0,2
20,28,445,466,0.0,1,0,2
20,29,579,664,0.0,0,0,2
20,30,608,538,0.0,0,0,2
20,31,464,414,0.0,0,0,3
20,32,339,563,0.0,0,0,3
20,33,571,733,0.0,0,0,3
20,34,517,345,0.0,0,0,3
20,35,609,449,0.0,0,0,3
20,36,429,587,0.0,0,0,3
20,37,520,419,0.0,0,0,3
20,38,660,339,0.0,0,0,3
20,39,357,472,0.0,0,0,3
20,40,503,668,0.0,0,0,3
20,41,517,684,0.0,0,0,3
20,42,496,444,0.0,0,0,3
20,43,657,622,0.0,1,0,3
20,44,444,470,0.0,0,0,3
20,45,382,437,0.0,0,0,3
20,46,478,436,0.0,0,0,3
20,47,500,440,0.0,0,0,3
20,48,425,441,0.0,0,0,3
20,49,502,460,0.0,0,0,3
20,50,707,387,0.0,0,0,3

