Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,0.859524009519846,13,26.0%,13,26.0%,53,NaN,0,0.0,0.9704859553318941,9,0.0,0.6930810908017737,4,0.0
2,0.8115998902139867,14,28.000000000000004%,14,28.000000000000004%,48,NaN,0,0.0,0.998771137136628,10,0.0,0.7562874337783545,4,0.0
3,0.9648620361697893,18,36.0%,17,34.0%,43,NaN,0,0.0,1.4456480735576347,12,0.0,0.8467217526941401,5,0.0
4,0.8342916545907001,15,30.0%,15,30.0%,38,NaN,0,0.0,1.378713408988094,11,0.0,0.9115429386275019,4,0.0
5,0.6587449238523688,13,26.0%,13,26.0%,33,NaN,0,0.0,1.4110192847290146,9,0.0,0.6282415889580147,4,0.0
6,0.4639976470728897,11,22.0%,10,20.0%,29,NaN,0,0.0,1.2007467055468783,8,0.0,0.3987935064894435,2,0.0
7,0.19677950641490974,6,12.0%,6,12.0%,26,NaN,0,0.0,0.5038356271271783,5,0.0,0.3094751712183322,1,0.0
8,0.07586711520409034,2,4.0%,2,4.0%,23,NaN,0,0.0,0.2916666666666667,1,0.0,0.03666947002556462,1,0.0
9,0.04485473728415105,1,2.0%,1,2.0%,20,NaN,0,0.0,0.22427368642075524,1,0.0,0.0,0,0.0
10,0.09,1,2.0%,1,2.0%,18,NaN,0,0.0,0.5,1,0.0,0.0,0,0.0
