Iteration,Passengers' mean utility,Vehicles' mean utility,% Interested passengers,% Matched passengers,% Matched Vehicles,Interested passengers,Matched passengers,Matched Vehicles,Total Vehicles
71,0.0,[D@17f460bb,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
72,0.0,[D@64a1923a,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
73,0.0,[D@7d2a6eac,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
74,0.0,[D@18ca3c62,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
75,0.0,[D@2c0f7678,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
76,0.0,[D@44d70181,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
77,0.0,[D@6aa648b9,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
78,0.0,[D@23c650a3,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
79,0.0,[D@742d4e15,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
80,0.0,[D@88a8218,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
81,0.0,[D@50b1f030,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
82,0.0,[D@4163f1cd,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
83,0.0,[D@5fa05212,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
84,0.0,[D@3e681bc,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
85,0.0,[D@5c09d180,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
86,0.0,[D@23aae55,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
87,0.0,[D@5f574cc2,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
88,0.0,[D@680bddf5,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
89,0.0,[D@7a9c84a5,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
90,0.0,[D@2d83c5a5,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
91,0.0,[D@48d7ad8b,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
92,0.0,[D@7e053511,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
93,0.0,[D@60222fd8,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
94,0.0,[D@53bf7094,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
95,0.0,[D@26f1249d,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
96,0.0,[D@710b30ef,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
97,0.0,[D@a68df9,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
98,0.0,[D@28b576a9,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
99,0.0,[D@7cf7aee,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
100,0.0,[D@2f6bbeb0,0.0%,0.0%,0%,0,0,[I@4cb2c100,0
