Iteration,Cheesecake,Profiterole,Mudcake
1,0,11,6
2,0,11,6
3,0,11,2
4,0,11,0
5,0,10,0
6,0,10,0
7,0,11,0
8,0,11,0
9,0,10,0
10,0,11,0
