Iteration,Passengers' mean utility,Interested passengers,% Interested passengers,Matched passengers,% Matched passengers,Total Vehicles,Cheesecake mean utility,Cheesecake matched vehicels, %Cheesecake matched vehicle,Profiterole mean utility,Profiterole matched vehicels, %Profiterole matched vehicle,Mudcake mean utility,Mudcake matched vehicels, %Mudcake matched vehicle
1,1.5615042779119752,85,85.0%,52,52.0%,53,NaN,0,0.0,3.1925224658130835,31,100.0,3.018737690840252,21,100.0
2,1.6074544446432923,84,84.0%,51,51.0%,53,NaN,0,0.0,3.5915411079318873,31,100.0,2.6499605613186334,20,100.0
3,1.7012024144361009,87,87.0%,55,55.00000000000001%,56,NaN,0,0.0,3.398294907944985,34,100.0,2.8988254740712813,21,100.0
4,1.5601021116292086,89,89.0%,54,54.0%,56,NaN,0,0.0,2.823359106442712,33,100.0,3.141968032515565,21,100.0
5,1.662046632361799,86,86.0%,55,55.00000000000001%,56,NaN,0,0.0,3.3222246275988,34,100.0,2.8285625262709746,21,100.0
6,1.6710022435822913,87,87.0%,55,55.00000000000001%,56,NaN,0,0.0,3.365875247280385,34,100.0,2.801317059898822,21,100.0
7,1.6999517562821753,84,84.0%,54,54.0%,56,NaN,0,0.0,3.27644347929455,33,100.0,3.0936270405748694,21,100.0
8,1.6357896162102312,83,83.0%,54,54.0%,56,NaN,0,0.0,3.54241677793973,34,100.0,2.3339603974506007,20,100.0
9,1.7198775213065849,89,89.0%,57,56.99999999999999%,59,NaN,0,0.0,3.006037346068702,37,100.0,3.188520383609256,20,100.0
10,1.7722023774325077,87,87.0%,57,56.99999999999999%,59,NaN,0,0.0,3.237713895133238,36,100.0,3.03312687592271,21,100.0
