Iteration,Cheesecake,Profiterole,Mudcake
1,0,31,21
2,0,31,20
3,0,34,21
4,0,33,21
5,0,34,21
6,0,34,21
7,0,33,21
8,0,34,20
9,0,37,20
10,0,36,21
