Iteration,Passengers' mean utility,Vehicles' mean utility,% Interested passengers,% Matched passengers,% Matched Vehicles,Interested passengers,Matched passengers,Matched Vehicles,Total Vehicles
1,3.775746183159919,[D@21362712,94.0%,94.0%,33.81294964028777%,47,47,47,139
2,3.9768856273064377,[D@27eb3298,94.0%,94.0%,27.325581395348834%,47,47,47,172
3,4.317995862331674,[D@200a26bc,98.0%,98.0%,28.488372093023255%,49,49,49,172
4,4.4209861594176285,[D@bc57b40,98.0%,98.0%,28.160919540229884%,49,49,49,174
5,4.447033532222453,[D@1b5bc39d,98.0%,98.0%,28.160919540229884%,49,49,49,174
6,4.480017996093582,[D@655a5d9c,98.0%,98.0%,28.160919540229884%,49,49,49,174
7,4.495925709186191,[D@1494b84d,98.0%,98.0%,28.160919540229884%,49,49,49,174
8,4.536640836672164,[D@34abdee4,98.0%,98.0%,28.160919540229884%,49,49,49,174
9,4.54800352328153,[D@71a9b4c7,98.0%,98.0%,28.160919540229884%,49,49,49,174
10,4.585990946537443,[D@4628b1d3,98.0%,98.0%,26.344086021505376%,49,49,49,186
11,4.600717793234308,[D@77cf3f8b,98.0%,98.0%,26.344086021505376%,49,49,49,186
12,4.608786752925646,[D@1df98368,98.0%,98.0%,26.344086021505376%,49,49,49,186
13,4.6091719177327795,[D@21ca139c,98.0%,98.0%,26.344086021505376%,49,49,49,186
14,4.610383020283708,[D@226f885f,98.0%,98.0%,26.344086021505376%,49,49,49,186
15,4.618318334018914,[D@2cd2c8fe,98.0%,98.0%,26.344086021505376%,49,49,49,186
16,4.620219314505321,[D@7d61eccf,98.0%,98.0%,26.344086021505376%,49,49,49,186
17,4.6520480150733885,[D@cc6460c,98.0%,98.0%,26.344086021505376%,49,49,49,186
18,4.652257057150804,[D@52350abb,98.0%,98.0%,26.344086021505376%,49,49,49,186
19,4.655898241210958,[D@681aad3b,98.0%,98.0%,26.344086021505376%,49,49,49,186
20,4.668514475659483,[D@1a6f2363,98.0%,98.0%,26.344086021505376%,49,49,49,186
21,4.675907723466575,[D@2427e004,98.0%,98.0%,26.344086021505376%,49,49,49,186
22,4.678143791444075,[D@5ebd56e9,98.0%,98.0%,26.344086021505376%,49,49,49,186
23,4.684306548142046,[D@63f34b70,98.0%,98.0%,26.344086021505376%,49,49,49,186
24,4.688030494732498,[D@641856,98.0%,98.0%,26.344086021505376%,49,49,49,186
25,4.69137215493321,[D@1b58ff9e,98.0%,98.0%,26.344086021505376%,49,49,49,186
26,4.697724268141028,[D@2f66e802,98.0%,98.0%,26.344086021505376%,49,49,49,186
27,4.70601668248679,[D@56b78e55,98.0%,98.0%,26.344086021505376%,49,49,49,186
28,4.70678061450929,[D@76318a7d,98.0%,98.0%,26.344086021505376%,49,49,49,186
29,4.70978313927939,[D@2a492f2a,98.0%,98.0%,26.344086021505376%,49,49,49,186
30,4.712064135234517,[D@3277e499,98.0%,98.0%,26.344086021505376%,49,49,49,186
31,4.713422951174363,[D@585811a4,98.0%,98.0%,26.344086021505376%,49,49,49,186
32,4.717393902419124,[D@22c01ab0,98.0%,98.0%,26.344086021505376%,49,49,49,186
33,4.71960110805692,[D@411341bd,98.0%,98.0%,26.344086021505376%,49,49,49,186
34,4.71960110805692,[D@4c4d362a,98.0%,98.0%,26.344086021505376%,49,49,49,186
35,4.71960110805692,[D@5400db36,98.0%,98.0%,24.747474747474747%,49,49,49,198
36,4.728776862678658,[D@76b74e9c,98.0%,98.0%,24.747474747474747%,49,49,49,198
37,4.729444563749503,[D@2d72f75e,98.0%,98.0%,24.747474747474747%,49,49,49,198
38,4.7356590703850765,[D@8ab78bc,98.0%,98.0%,24.747474747474747%,49,49,49,198
39,4.739258002241942,[D@5aa0dbf4,98.0%,98.0%,24.747474747474747%,49,49,49,198
40,4.7403811078675595,[D@16afbd92,98.0%,98.0%,24.747474747474747%,49,49,49,198
41,4.7408070161483655,[D@2c5d601e,98.0%,98.0%,24.747474747474747%,49,49,49,198
42,4.743537302852182,[D@7fe083b1,98.0%,98.0%,24.747474747474747%,49,49,49,198
43,4.744476693365384,[D@23c388c2,98.0%,98.0%,24.747474747474747%,49,49,49,198
44,4.744476693365384,[D@486be205,98.0%,98.0%,24.747474747474747%,49,49,49,198
45,4.7457387525469015,[D@f713686,98.0%,98.0%,24.747474747474747%,49,49,49,198
46,4.7457387525469015,[D@74f7d1d2,98.0%,98.0%,24.747474747474747%,49,49,49,198
47,4.754638247483514,[D@4b4dd216,98.0%,98.0%,24.747474747474747%,49,49,49,198
48,4.7547613531091315,[D@5ca17ab0,98.0%,98.0%,24.747474747474747%,49,49,49,198
49,4.7547613531091315,[D@5a62b2a4,98.0%,98.0%,24.747474747474747%,49,49,49,198
50,4.7547613531091315,[D@1051817b,98.0%,98.0%,24.747474747474747%,49,49,49,198
51,4.7547613531091315,[D@35293c05,98.0%,98.0%,24.747474747474747%,49,49,49,198
52,4.7547613531091315,[D@620aa4ea,98.0%,98.0%,24.747474747474747%,49,49,49,198
53,4.7559236307693,[D@2db2dd9d,98.0%,98.0%,24.747474747474747%,49,49,49,198
54,4.7559236307693,[D@3174cb09,98.0%,98.0%,24.747474747474747%,49,49,49,198
55,4.7571596987468,[D@4d411036,98.0%,98.0%,24.747474747474747%,49,49,49,198
56,4.761130649991561,[D@7adbd080,98.0%,98.0%,24.747474747474747%,49,49,49,198
57,4.761130649991561,[D@41beb473,98.0%,98.0%,24.747474747474747%,49,49,49,198
58,4.761130649991561,[D@560513ce,98.0%,98.0%,24.747474747474747%,49,49,49,198
59,4.761130649991561,[D@13006998,98.0%,98.0%,24.747474747474747%,49,49,49,198
60,4.761573923606857,[D@37fbe4a8,98.0%,98.0%,24.747474747474747%,49,49,49,198
61,4.762337855629357,[D@352c308,98.0%,98.0%,24.747474747474747%,49,49,49,198
62,4.762337855629357,[D@7d373bcf,98.0%,98.0%,24.747474747474747%,49,49,49,198
63,4.762337855629357,[D@6d6bc158,98.0%,98.0%,24.747474747474747%,49,49,49,198
64,4.763159710044484,[D@5dda6f9,98.0%,98.0%,24.747474747474747%,49,49,49,198
65,4.763159710044484,[D@10027fc9,98.0%,98.0%,24.747474747474747%,49,49,49,198
66,4.763159710044484,[D@54afd745,98.0%,98.0%,24.747474747474747%,49,49,49,198
67,4.763159710044484,[D@677dbd89,98.0%,98.0%,24.747474747474747%,49,49,49,198
68,4.765046747692601,[D@fff25f1,98.0%,98.0%,24.747474747474747%,49,49,49,198
69,4.765868602107728,[D@c00fff0,98.0%,98.0%,24.747474747474747%,49,49,49,198
70,4.766396466152728,[D@263f04ca,98.0%,98.0%,24.747474747474747%,49,49,49,198
71,4.767160398175228,[D@2ca47471,98.0%,98.0%,24.747474747474747%,49,49,49,198
72,4.769383285322195,[D@5a021cb9,98.0%,98.0%,24.747474747474747%,49,49,49,198
73,4.769383285322195,[D@51768776,98.0%,98.0%,24.747474747474747%,49,49,49,198
74,4.769383285322195,[D@f31c0c6,98.0%,98.0%,24.747474747474747%,49,49,49,198
75,4.770969071759821,[D@b93aad,98.0%,98.0%,24.747474747474747%,49,49,49,198
76,4.772383285322195,[D@4a9419d7,98.0%,98.0%,24.747474747474747%,49,49,49,198
77,4.772383285322195,[D@2f3c6ac4,98.0%,98.0%,24.747474747474747%,49,49,49,198
