Iteration,Cheesecake,Profiterole,Mucake
1,0,26,21
2,1,22,25
3,2,22,24
4,2,25,21
5,2,27,19
6,2,26,20
7,2,25,21
8,1,24,23
9,1,22,25
10,1,25,22
11,1,24,23
12,1,27,20
13,1,28,19
14,1,28,19
15,1,27,20
16,1,25,22
17,0,24,24
18,0,24,24
19,0,21,27
20,0,21,27
21,0,21,27
22,0,21,27
23,0,20,28
24,0,19,29
25,0,19,29
26,0,19,29
27,0,20,28
28,0,19,29
29,0,20,28
30,0,20,28
31,0,20,28
32,0,21,27
33,0,21,27
34,0,22,26
35,0,21,27
36,0,21,27
37,0,21,27
38,0,22,26
39,0,21,27
40,0,20,28
41,0,20,28
42,0,21,27
43,0,20,28
44,0,20,28
45,0,20,28
46,0,19,29
47,0,20,28
48,0,21,27
49,0,20,28
50,0,20,28
51,0,20,28
52,0,20,28
53,0,21,27
54,0,22,26
55,0,22,26
56,0,22,26
57,0,22,26
58,0,21,27
59,0,21,27
60,0,21,27
61,0,21,27
62,0,22,26
63,0,22,26
64,0,22,26
65,0,22,26
66,0,22,26
67,0,23,25
68,0,23,25
69,0,23,25
70,0,22,26
71,0,22,26
72,0,22,26
73,0,22,26
74,0,22,26
75,0,22,26
76,0,23,25
77,0,23,25
78,0,22,26
79,0,21,27
80,0,21,27
81,0,21,27
82,0,21,27
83,0,21,27
84,0,21,27
85,0,20,28
86,0,20,28
87,0,20,28
88,0,20,28
89,0,20,28
90,0,20,28
91,0,20,28
92,0,20,28
93,0,20,28
94,0,20,28
95,0,20,28
96,0,21,27
97,0,21,27
98,0,21,27
99,0,21,27
100,0,21,27
