Iteration,Cheesecake,Profiterole,Mudcake
1,0,9,5
2,0,10,2
3,0,8,2
4,0,10,2
5,0,8,2
6,0,10,1
7,0,10,1
8,0,9,0
9,0,10,0
10,0,10,0
