Iteration,Cheesecake,Profiterole,Mudcake
1,0,12,6
2,0,12,5
3,0,13,5
4,0,13,7
5,0,12,4
6,0,13,6
7,0,12,4
8,0,13,6
9,0,13,4
10,0,12,1
